ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
LIFGorb,370,37,1.000000,0.386927,0.389138,0.994318,4.000000,0.188174,0.282260
LIFG,743,74,1.000000,0.660358,0.164787,4.007346,4.000000,0.008016,0.027006
LMFG,462,46,1.000000,1.221228,0.345711,3.532513,4.000000,0.012088,0.027006
LAntTemp,1627,162,1.000000,-0.103319,0.152813,-0.676112,4.000000,0.731977,0.878373
LPostTemp,2948,294,1.000000,0.614475,0.180152,3.410865,4.000000,0.013503,0.027006
LAngG,644,64,1.000000,-0.573196,0.292932,-1.956751,4.000000,0.938996,0.938996
