ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
LIFGorb,370,37,1.000000,1.205008,0.609085,1.978389,5.000000,0.052397,0.052397
LIFG,743,74,1.000000,1.478725,0.451606,3.274372,5.000000,0.011046,0.016569
LMFG,462,46,1.000000,1.779015,0.403735,4.406397,5.000000,0.003490,0.008747
LAntTemp,1627,162,1.000000,1.203042,0.229893,5.233049,5.000000,0.001687,0.008747
LPostTemp,2948,294,1.000000,1.110280,0.266314,4.169060,5.000000,0.004374,0.008747
LAngG,644,64,1.000000,0.845229,0.401581,2.104752,5.000000,0.044607,0.052397
