ROI,Effect,MeanEffect,StdEffect,StderrEffect
LIFGorb,S,1.582316,2.067322,0.843981
LIFGorb,N,0.377309,0.778633,0.317876
LIFGorb,S-N,1.205008,1.491948,0.609085
LIFG,S,2.172873,1.345067,0.549121
LIFG,N,0.694148,0.339808,0.138726
LIFG,S-N,1.478725,1.106203,0.451606
LMFG,S,2.945450,1.624281,0.663110
LMFG,N,1.166434,0.704328,0.287541
LMFG,S-N,1.779015,0.988944,0.403735
LAntTemp,S,1.117383,0.683814,0.279166
LAntTemp,N,-0.085659,0.308673,0.126015
LAntTemp,S-N,1.203042,0.563121,0.229893
LPostTemp,S,1.619492,1.006050,0.410718
LPostTemp,N,0.509212,0.443059,0.180878
LPostTemp,S-N,1.110280,0.652334,0.266314
LAngG,S,0.381991,1.151323,0.470026
LAngG,N,-0.463238,0.644811,0.263243
LAngG,S-N,0.845229,0.983669,0.401581
