ROI,Subject,Effect, LocalizerSize,EffectSize
LIFGorb,334_FED_20151119a_3T2_PL2017,S, 37,-0.360034
LIFGorb,334_FED_20151119a_3T2_PL2017,N, 37,-0.633861
LIFGorb,334_FED_20151119a_3T2_PL2017,S-N, 37,0.273827
LIFGorb,479_FED_20161104a_3T2_PL2017,S, 37,1.800316
LIFGorb,479_FED_20161104a_3T2_PL2017,N, 37,0.344451
LIFGorb,479_FED_20161104a_3T2_PL2017,S-N, 37,1.455866
LIFGorb,522_FED_20161228e_3T2_PL2017,S, 37,0.155669
LIFGorb,522_FED_20161228e_3T2_PL2017,N, 37,-0.293667
LIFGorb,522_FED_20161228e_3T2_PL2017,S-N, 37,0.449336
LIFGorb,516_FED_20161217a_3T2_PL2017,S, 37,1.842527
LIFGorb,516_FED_20161217a_3T2_PL2017,N, 37,1.236178
LIFGorb,516_FED_20161217a_3T2_PL2017,S-N, 37,0.606349
LIFGorb,426_FED_20160908d_3T1_PL2017,S, 37,5.401261
LIFGorb,426_FED_20160908d_3T1_PL2017,N, 37,1.281536
LIFGorb,426_FED_20160908d_3T1_PL2017,S-N, 37,4.119725
LIFG,334_FED_20151119a_3T2_PL2017,S, 74,2.516241
LIFG,334_FED_20151119a_3T2_PL2017,N, 74,0.594511
LIFG,334_FED_20151119a_3T2_PL2017,S-N, 74,1.921730
LIFG,479_FED_20161104a_3T2_PL2017,S, 74,1.440249
LIFG,479_FED_20161104a_3T2_PL2017,N, 74,0.415718
LIFG,479_FED_20161104a_3T2_PL2017,S-N, 74,1.024531
LIFG,522_FED_20161228e_3T2_PL2017,S, 74,1.294131
LIFG,522_FED_20161228e_3T2_PL2017,N, 74,0.281117
LIFG,522_FED_20161228e_3T2_PL2017,S-N, 74,1.013014
LIFG,516_FED_20161217a_3T2_PL2017,S, 74,1.233560
LIFG,516_FED_20161217a_3T2_PL2017,N, 74,0.784743
LIFG,516_FED_20161217a_3T2_PL2017,S-N, 74,0.448817
LIFG,426_FED_20160908d_3T1_PL2017,S, 74,4.742948
LIFG,426_FED_20160908d_3T1_PL2017,N, 74,1.225703
LIFG,426_FED_20160908d_3T1_PL2017,S-N, 74,3.517246
LMFG,334_FED_20151119a_3T2_PL2017,S, 46,2.569154
LMFG,334_FED_20151119a_3T2_PL2017,N, 46,1.052217
LMFG,334_FED_20151119a_3T2_PL2017,S-N, 46,1.516938
LMFG,479_FED_20161104a_3T2_PL2017,S, 46,2.942514
LMFG,479_FED_20161104a_3T2_PL2017,N, 46,1.307094
LMFG,479_FED_20161104a_3T2_PL2017,S-N, 46,1.635420
LMFG,522_FED_20161228e_3T2_PL2017,S, 46,1.213518
LMFG,522_FED_20161228e_3T2_PL2017,N, 46,0.114051
LMFG,522_FED_20161228e_3T2_PL2017,S-N, 46,1.099467
LMFG,516_FED_20161217a_3T2_PL2017,S, 46,2.592257
LMFG,516_FED_20161217a_3T2_PL2017,N, 46,1.358075
LMFG,516_FED_20161217a_3T2_PL2017,S-N, 46,1.234181
LMFG,426_FED_20160908d_3T1_PL2017,S, 46,6.033560
LMFG,426_FED_20160908d_3T1_PL2017,N, 46,2.274705
LMFG,426_FED_20160908d_3T1_PL2017,S-N, 46,3.758855
LAntTemp,334_FED_20151119a_3T2_PL2017,S, 162,0.621844
LAntTemp,334_FED_20151119a_3T2_PL2017,N, 162,-0.650936
LAntTemp,334_FED_20151119a_3T2_PL2017,S-N, 162,1.272780
LAntTemp,479_FED_20161104a_3T2_PL2017,S, 162,0.938289
LAntTemp,479_FED_20161104a_3T2_PL2017,N, 162,-0.097438
LAntTemp,479_FED_20161104a_3T2_PL2017,S-N, 162,1.035727
LAntTemp,522_FED_20161228e_3T2_PL2017,S, 162,1.089217
LAntTemp,522_FED_20161228e_3T2_PL2017,N, 162,-0.137663
LAntTemp,522_FED_20161228e_3T2_PL2017,S-N, 162,1.226880
LAntTemp,516_FED_20161217a_3T2_PL2017,S, 162,1.409309
LAntTemp,516_FED_20161217a_3T2_PL2017,N, 162,0.183446
LAntTemp,516_FED_20161217a_3T2_PL2017,S-N, 162,1.225863
LAntTemp,426_FED_20160908d_3T1_PL2017,S, 162,2.294919
LAntTemp,426_FED_20160908d_3T1_PL2017,N, 162,0.185998
LAntTemp,426_FED_20160908d_3T1_PL2017,S-N, 162,2.108921
LPostTemp,334_FED_20151119a_3T2_PL2017,S, 294,1.348986
LPostTemp,334_FED_20151119a_3T2_PL2017,N, 294,0.216911
LPostTemp,334_FED_20151119a_3T2_PL2017,S-N, 294,1.132075
LPostTemp,479_FED_20161104a_3T2_PL2017,S, 294,1.890110
LPostTemp,479_FED_20161104a_3T2_PL2017,N, 294,0.473090
LPostTemp,479_FED_20161104a_3T2_PL2017,S-N, 294,1.417019
LPostTemp,522_FED_20161228e_3T2_PL2017,S, 294,1.225624
LPostTemp,522_FED_20161228e_3T2_PL2017,N, 294,0.371275
LPostTemp,522_FED_20161228e_3T2_PL2017,S-N, 294,0.854349
LPostTemp,516_FED_20161217a_3T2_PL2017,S, 294,1.274563
LPostTemp,516_FED_20161217a_3T2_PL2017,N, 294,0.775304
LPostTemp,516_FED_20161217a_3T2_PL2017,S-N, 294,0.499259
LPostTemp,426_FED_20160908d_3T1_PL2017,S, 294,3.466559
LPostTemp,426_FED_20160908d_3T1_PL2017,N, 294,1.235794
LPostTemp,426_FED_20160908d_3T1_PL2017,S-N, 294,2.230765
LAngG,334_FED_20151119a_3T2_PL2017,S, 64,-0.318069
LAngG,334_FED_20151119a_3T2_PL2017,N, 64,-1.570168
LAngG,334_FED_20151119a_3T2_PL2017,S-N, 64,1.252099
LAngG,479_FED_20161104a_3T2_PL2017,S, 64,0.054968
LAngG,479_FED_20161104a_3T2_PL2017,N, 64,-0.213150
LAngG,479_FED_20161104a_3T2_PL2017,S-N, 64,0.268118
LAngG,522_FED_20161228e_3T2_PL2017,S, 64,0.959412
LAngG,522_FED_20161228e_3T2_PL2017,N, 64,-0.140786
LAngG,522_FED_20161228e_3T2_PL2017,S-N, 64,1.100198
LAngG,516_FED_20161217a_3T2_PL2017,S, 64,-0.675548
LAngG,516_FED_20161217a_3T2_PL2017,N, 64,-0.909519
LAngG,516_FED_20161217a_3T2_PL2017,S-N, 64,0.233972
LAngG,426_FED_20160908d_3T1_PL2017,S, 64,2.447663
LAngG,426_FED_20160908d_3T1_PL2017,N, 64,-0.032355
LAngG,426_FED_20160908d_3T1_PL2017,S-N, 64,2.480019
