ROI,Effect,MeanEffect,StdEffect,StderrEffect
1,H,2.228560,1.361637,0.786141
1,E,1.268875,0.532665,0.307534
1,H-E,0.959685,0.862966,0.498233
2,H,2.714055,1.304332,0.753056
2,E,1.621656,0.605673,0.349685
2,H-E,1.092399,0.721868,0.416770
3,H,1.904632,1.060549,0.612308
3,E,0.616447,0.945822,0.546071
3,H-E,1.288185,1.383755,0.798911
4,H,2.276981,0.843956,0.487258
4,E,1.037578,0.560866,0.323816
4,H-E,1.239403,0.964967,0.557124
5,H,0.720717,0.799038,0.461325
5,E,-0.128640,0.354783,0.204834
5,H-E,0.849356,1.145854,0.661559
6,H,0.897532,0.256922,0.148334
6,E,0.052804,0.545746,0.315087
6,H-E,0.844727,0.584268,0.337327
7,H,3.194354,1.670972,0.964736
7,E,2.221687,0.721525,0.416573
7,H-E,0.972667,0.953165,0.550310
8,H,3.268628,0.804246,0.464332
8,E,2.379390,0.579576,0.334619
8,H-E,0.889239,0.358104,0.206751
9,H,1.482813,1.117988,0.645471
9,E,0.764627,0.275140,0.158852
9,H-E,0.718185,0.859628,0.496306
10,H,1.517961,0.985209,0.568811
10,E,0.571935,0.258761,0.149395
10,H-E,0.946026,1.026452,0.592622
11,H,2.057337,0.799674,0.461692
11,E,1.139079,0.327446,0.189051
11,H-E,0.918258,0.684286,0.395073
12,H,1.791784,0.547301,0.315985
12,E,1.002675,0.343971,0.198592
12,H-E,0.789109,0.421128,0.243139
13,H,3.255013,0.996475,0.575315
13,E,2.172250,0.717771,0.414405
13,H-E,1.082763,0.443958,0.256319
14,H,3.495024,1.645624,0.950102
14,E,2.095607,0.843221,0.486834
14,H-E,1.399417,0.892991,0.515569
15,H,4.080404,1.940980,1.120625
15,E,3.017348,1.472601,0.850206
15,H-E,1.063056,0.520313,0.300403
16,H,5.036414,2.442796,1.410349
16,E,3.682202,1.820273,1.050935
16,H-E,1.354213,0.684352,0.395111
17,H,1.126348,0.671399,0.387632
17,E,0.312967,0.276567,0.159676
17,H-E,0.813381,0.944143,0.545101
18,H,1.058987,0.908831,0.524714
18,E,0.238492,0.210478,0.121520
18,H-E,0.820495,1.110991,0.641431
