ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,1.268875,0.307534,4.125964,2.000000,0.027013,0.054026
2,1399,139,1.000000,1.621656,0.349685,4.637471,2.000000,0.021744,0.054026
3,4863,486,1.000000,0.616447,0.546071,1.128878,2.000000,0.188073,0.211582
4,5104,510,1.000000,1.037578,0.323816,3.204220,2.000000,0.042572,0.058946
5,888,88,1.000000,-0.128640,0.204834,-0.628019,2.000000,0.702929,0.702929
6,1015,101,1.000000,0.052804,0.315087,0.167587,2.000000,0.441161,0.467111
7,3526,352,1.000000,2.221687,0.416573,5.333250,2.000000,0.016703,0.054026
8,3381,338,1.000000,2.379390,0.334619,7.110752,2.000000,0.009605,0.054026
9,1858,185,1.000000,0.764627,0.158852,4.813450,2.000000,0.020277,0.054026
10,1770,177,1.000000,0.571935,0.149395,3.828331,2.000000,0.030979,0.054516
11,2147,214,1.000000,1.139079,0.189051,6.025240,2.000000,0.013229,0.054026
12,2371,237,1.000000,1.002675,0.198592,5.048919,2.000000,0.018531,0.054026
13,2447,244,1.000000,2.172250,0.414405,5.241850,2.000000,0.017260,0.054026
14,1345,134,1.000000,2.095607,0.486834,4.304561,2.000000,0.024979,0.054026
15,2065,206,1.000000,3.017348,0.850206,3.548960,2.000000,0.035520,0.054516
16,2222,222,1.000000,3.682202,1.050935,3.503738,2.000000,0.036344,0.054516
17,1615,161,1.000000,0.312967,0.159676,1.960015,2.000000,0.094528,0.113433
18,1958,195,1.000000,0.238492,0.121520,1.962580,2.000000,0.094346,0.113433
