ROI,Subject,Session/Partition,LocalizerSize
1,479_FED_20161104a_3T2_PL2017,1,103
1,479_FED_20161104a_3T2_PL2017,2,103
1,424_FED_20161102b_3T1_PL2017,1,103
1,424_FED_20161102b_3T1_PL2017,2,103
1,426_FED_20160908d_3T1_PL2017,1,103
1,426_FED_20160908d_3T1_PL2017,2,103
2,479_FED_20161104a_3T2_PL2017,1,139
2,479_FED_20161104a_3T2_PL2017,2,139
2,424_FED_20161102b_3T1_PL2017,1,139
2,424_FED_20161102b_3T1_PL2017,2,139
2,426_FED_20160908d_3T1_PL2017,1,139
2,426_FED_20160908d_3T1_PL2017,2,139
3,479_FED_20161104a_3T2_PL2017,1,486
3,479_FED_20161104a_3T2_PL2017,2,486
3,424_FED_20161102b_3T1_PL2017,1,486
3,424_FED_20161102b_3T1_PL2017,2,486
3,426_FED_20160908d_3T1_PL2017,1,486
3,426_FED_20160908d_3T1_PL2017,2,486
4,479_FED_20161104a_3T2_PL2017,1,510
4,479_FED_20161104a_3T2_PL2017,2,510
4,424_FED_20161102b_3T1_PL2017,1,510
4,424_FED_20161102b_3T1_PL2017,2,510
4,426_FED_20160908d_3T1_PL2017,1,510
4,426_FED_20160908d_3T1_PL2017,2,510
5,479_FED_20161104a_3T2_PL2017,1,88
5,479_FED_20161104a_3T2_PL2017,2,88
5,424_FED_20161102b_3T1_PL2017,1,88
5,424_FED_20161102b_3T1_PL2017,2,88
5,426_FED_20160908d_3T1_PL2017,1,88
5,426_FED_20160908d_3T1_PL2017,2,88
6,479_FED_20161104a_3T2_PL2017,1,101
6,479_FED_20161104a_3T2_PL2017,2,101
6,424_FED_20161102b_3T1_PL2017,1,101
6,424_FED_20161102b_3T1_PL2017,2,101
6,426_FED_20160908d_3T1_PL2017,1,101
6,426_FED_20160908d_3T1_PL2017,2,101
7,479_FED_20161104a_3T2_PL2017,1,352
7,479_FED_20161104a_3T2_PL2017,2,352
7,424_FED_20161102b_3T1_PL2017,1,352
7,424_FED_20161102b_3T1_PL2017,2,352
7,426_FED_20160908d_3T1_PL2017,1,352
7,426_FED_20160908d_3T1_PL2017,2,352
8,479_FED_20161104a_3T2_PL2017,1,338
8,479_FED_20161104a_3T2_PL2017,2,338
8,424_FED_20161102b_3T1_PL2017,1,338
8,424_FED_20161102b_3T1_PL2017,2,338
8,426_FED_20160908d_3T1_PL2017,1,338
8,426_FED_20160908d_3T1_PL2017,2,338
9,479_FED_20161104a_3T2_PL2017,1,185
9,479_FED_20161104a_3T2_PL2017,2,185
9,424_FED_20161102b_3T1_PL2017,1,185
9,424_FED_20161102b_3T1_PL2017,2,185
9,426_FED_20160908d_3T1_PL2017,1,185
9,426_FED_20160908d_3T1_PL2017,2,185
10,479_FED_20161104a_3T2_PL2017,1,177
10,479_FED_20161104a_3T2_PL2017,2,177
10,424_FED_20161102b_3T1_PL2017,1,177
10,424_FED_20161102b_3T1_PL2017,2,177
10,426_FED_20160908d_3T1_PL2017,1,177
10,426_FED_20160908d_3T1_PL2017,2,177
11,479_FED_20161104a_3T2_PL2017,1,214
11,479_FED_20161104a_3T2_PL2017,2,214
11,424_FED_20161102b_3T1_PL2017,1,214
11,424_FED_20161102b_3T1_PL2017,2,214
11,426_FED_20160908d_3T1_PL2017,1,214
11,426_FED_20160908d_3T1_PL2017,2,214
12,479_FED_20161104a_3T2_PL2017,1,237
12,479_FED_20161104a_3T2_PL2017,2,237
12,424_FED_20161102b_3T1_PL2017,1,237
12,424_FED_20161102b_3T1_PL2017,2,237
12,426_FED_20160908d_3T1_PL2017,1,237
12,426_FED_20160908d_3T1_PL2017,2,237
13,479_FED_20161104a_3T2_PL2017,1,244
13,479_FED_20161104a_3T2_PL2017,2,244
13,424_FED_20161102b_3T1_PL2017,1,244
13,424_FED_20161102b_3T1_PL2017,2,244
13,426_FED_20160908d_3T1_PL2017,1,244
13,426_FED_20160908d_3T1_PL2017,2,244
14,479_FED_20161104a_3T2_PL2017,1,134
14,479_FED_20161104a_3T2_PL2017,2,134
14,424_FED_20161102b_3T1_PL2017,1,134
14,424_FED_20161102b_3T1_PL2017,2,134
14,426_FED_20160908d_3T1_PL2017,1,134
14,426_FED_20160908d_3T1_PL2017,2,134
15,479_FED_20161104a_3T2_PL2017,1,206
15,479_FED_20161104a_3T2_PL2017,2,206
15,424_FED_20161102b_3T1_PL2017,1,206
15,424_FED_20161102b_3T1_PL2017,2,206
15,426_FED_20160908d_3T1_PL2017,1,206
15,426_FED_20160908d_3T1_PL2017,2,206
16,479_FED_20161104a_3T2_PL2017,1,222
16,479_FED_20161104a_3T2_PL2017,2,222
16,424_FED_20161102b_3T1_PL2017,1,222
16,424_FED_20161102b_3T1_PL2017,2,222
16,426_FED_20160908d_3T1_PL2017,1,222
16,426_FED_20160908d_3T1_PL2017,2,222
17,479_FED_20161104a_3T2_PL2017,1,161
17,479_FED_20161104a_3T2_PL2017,2,161
17,424_FED_20161102b_3T1_PL2017,1,161
17,424_FED_20161102b_3T1_PL2017,2,161
17,426_FED_20160908d_3T1_PL2017,1,161
17,426_FED_20160908d_3T1_PL2017,2,161
18,479_FED_20161104a_3T2_PL2017,1,195
18,479_FED_20161104a_3T2_PL2017,2,195
18,424_FED_20161102b_3T1_PL2017,1,195
18,424_FED_20161102b_3T1_PL2017,2,195
18,426_FED_20160908d_3T1_PL2017,1,195
18,426_FED_20160908d_3T1_PL2017,2,195
