ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,2.228560,0.786141,2.834808,2.000000,0.052585,0.067609
2,1399,139,1.000000,2.714055,0.753056,3.604053,2.000000,0.034551,0.063228
3,4863,486,1.000000,1.904632,0.612308,3.110579,2.000000,0.044834,0.067251
4,5104,510,1.000000,2.276981,0.487258,4.673047,2.000000,0.021435,0.063228
5,888,88,1.000000,0.720717,0.461325,1.562276,2.000000,0.129318,0.129318
6,1015,101,1.000000,0.897532,0.148334,6.050757,2.000000,0.013122,0.063228
7,3526,352,1.000000,3.194354,0.964736,3.311116,2.000000,0.040185,0.065757
8,3381,338,1.000000,3.268628,0.464332,7.039428,2.000000,0.009795,0.063228
9,1858,185,1.000000,1.482813,0.645471,2.297258,2.000000,0.074214,0.083490
10,1770,177,1.000000,1.517961,0.568811,2.668657,2.000000,0.058202,0.069842
11,2147,214,1.000000,2.057337,0.461692,4.456083,2.000000,0.023425,0.063228
12,2371,237,1.000000,1.791784,0.315985,5.670478,2.000000,0.014860,0.063228
13,2447,244,1.000000,3.255013,0.575315,5.657793,2.000000,0.014924,0.063228
14,1345,134,1.000000,3.495024,0.950102,3.678579,2.000000,0.033301,0.063228
15,2065,206,1.000000,4.080404,1.120625,3.641186,2.000000,0.033920,0.063228
16,2222,222,1.000000,5.036414,1.410349,3.571041,2.000000,0.035127,0.063228
17,1615,161,1.000000,1.126348,0.387632,2.905711,2.000000,0.050420,0.067609
18,1958,195,1.000000,1.058987,0.524714,2.018218,2.000000,0.090523,0.095848
