ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.959685,0.498233,1.926175,2.000000,0.096966,0.158671
2,1399,139,1.000000,1.092399,0.416770,2.621104,2.000000,0.059964,0.140478
3,4863,486,1.000000,1.288185,0.798911,1.612426,2.000000,0.124098,0.160213
4,5104,510,1.000000,1.239403,0.557124,2.224643,2.000000,0.078043,0.140478
5,888,88,1.000000,0.849356,0.661559,1.283870,2.000000,0.163919,0.164596
6,1015,101,1.000000,0.844727,0.337327,2.504179,2.000000,0.064630,0.140478
7,3526,352,1.000000,0.972667,0.550310,1.767490,2.000000,0.109589,0.160213
8,3381,338,1.000000,0.889239,0.206751,4.301010,2.000000,0.025018,0.140478
9,1858,185,1.000000,0.718185,0.496306,1.447060,2.000000,0.142411,0.160213
10,1770,177,1.000000,0.946026,0.592622,1.596339,2.000000,0.125742,0.160213
11,2147,214,1.000000,0.918258,0.395073,2.324276,2.000000,0.072855,0.140478
12,2371,237,1.000000,0.789109,0.243139,3.245512,2.000000,0.041626,0.140478
13,2447,244,1.000000,1.082763,0.256319,4.224279,2.000000,0.025865,0.140478
14,1345,134,1.000000,1.399417,0.515569,2.714316,2.000000,0.056577,0.140478
15,2065,206,1.000000,1.063056,0.300403,3.538771,2.000000,0.035703,0.140478
16,2222,222,1.000000,1.354213,0.395111,3.427423,2.000000,0.037800,0.140478
17,1615,161,1.000000,0.813381,0.545101,1.492164,2.000000,0.137095,0.160213
18,1958,195,1.000000,0.820495,0.641431,1.279164,2.000000,0.164596,0.164596
