ROI,ROISize,LocalizerSize,LocalizerIntersubjectOverlap
49,1038,103,1.000000
50,1399,139,1.000000
51,4863,486,1.000000
52,5104,510,1.000000
53,888,88,1.000000
54,1015,101,1.000000
55,3526,352,1.000000
56,3381,338,1.000000
57,1858,185,1.000000
