ROI,Subject,Weight
1,479_FED_20161104a_3T2_PL2017,1.000000
1,424_FED_20161102b_3T1_PL2017,1.000000
1,426_FED_20160908d_3T1_PL2017,1.000000
2,479_FED_20161104a_3T2_PL2017,1.000000
2,424_FED_20161102b_3T1_PL2017,1.000000
2,426_FED_20160908d_3T1_PL2017,1.000000
3,479_FED_20161104a_3T2_PL2017,1.000000
3,424_FED_20161102b_3T1_PL2017,1.000000
3,426_FED_20160908d_3T1_PL2017,1.000000
4,479_FED_20161104a_3T2_PL2017,1.000000
4,424_FED_20161102b_3T1_PL2017,1.000000
4,426_FED_20160908d_3T1_PL2017,1.000000
5,479_FED_20161104a_3T2_PL2017,1.000000
5,424_FED_20161102b_3T1_PL2017,1.000000
5,426_FED_20160908d_3T1_PL2017,1.000000
6,479_FED_20161104a_3T2_PL2017,1.000000
6,424_FED_20161102b_3T1_PL2017,1.000000
6,426_FED_20160908d_3T1_PL2017,1.000000
7,479_FED_20161104a_3T2_PL2017,1.000000
7,424_FED_20161102b_3T1_PL2017,1.000000
7,426_FED_20160908d_3T1_PL2017,1.000000
8,479_FED_20161104a_3T2_PL2017,1.000000
8,424_FED_20161102b_3T1_PL2017,1.000000
8,426_FED_20160908d_3T1_PL2017,1.000000
9,479_FED_20161104a_3T2_PL2017,1.000000
9,424_FED_20161102b_3T1_PL2017,1.000000
9,426_FED_20160908d_3T1_PL2017,1.000000
10,479_FED_20161104a_3T2_PL2017,1.000000
10,424_FED_20161102b_3T1_PL2017,1.000000
10,426_FED_20160908d_3T1_PL2017,1.000000
11,479_FED_20161104a_3T2_PL2017,1.000000
11,424_FED_20161102b_3T1_PL2017,1.000000
11,426_FED_20160908d_3T1_PL2017,1.000000
12,479_FED_20161104a_3T2_PL2017,1.000000
12,424_FED_20161102b_3T1_PL2017,1.000000
12,426_FED_20160908d_3T1_PL2017,1.000000
13,479_FED_20161104a_3T2_PL2017,1.000000
13,424_FED_20161102b_3T1_PL2017,1.000000
13,426_FED_20160908d_3T1_PL2017,1.000000
14,479_FED_20161104a_3T2_PL2017,1.000000
14,424_FED_20161102b_3T1_PL2017,1.000000
14,426_FED_20160908d_3T1_PL2017,1.000000
15,479_FED_20161104a_3T2_PL2017,1.000000
15,424_FED_20161102b_3T1_PL2017,1.000000
15,426_FED_20160908d_3T1_PL2017,1.000000
16,479_FED_20161104a_3T2_PL2017,1.000000
16,424_FED_20161102b_3T1_PL2017,1.000000
16,426_FED_20160908d_3T1_PL2017,1.000000
17,479_FED_20161104a_3T2_PL2017,1.000000
17,424_FED_20161102b_3T1_PL2017,1.000000
17,426_FED_20160908d_3T1_PL2017,1.000000
18,479_FED_20161104a_3T2_PL2017,1.000000
18,424_FED_20161102b_3T1_PL2017,1.000000
18,426_FED_20160908d_3T1_PL2017,1.000000
