ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,-0.014784,0.119328,-0.123891,5.000000,0.546886,0.615247
2,1399,139,1.000000,0.177048,0.166406,1.063951,5.000000,0.168006,0.367776
3,4863,486,1.000000,0.245334,0.399090,0.614734,5.000000,0.282813,0.382907
4,5104,510,1.000000,0.323951,0.337602,0.959565,5.000000,0.190672,0.367776
5,888,88,1.000000,0.322010,0.432839,0.743950,5.000000,0.245184,0.367776
6,1015,101,1.000000,0.207390,0.226855,0.914196,5.000000,0.201273,0.367776
7,3526,352,1.000000,-0.037017,0.116933,-0.316562,5.000000,0.617817,0.617817
8,3381,338,1.000000,0.113433,0.200290,0.566345,5.000000,0.297817,0.382907
9,1858,185,1.000000,0.186678,0.221882,0.841335,5.000000,0.219267,0.367776
10,1770,177,1.000000,0.375814,0.338685,1.109628,5.000000,0.158827,0.367776
11,2147,214,1.000000,0.214025,0.197181,1.085424,5.000000,0.163636,0.367776
12,2371,237,1.000000,0.219792,0.149629,1.468917,5.000000,0.100898,0.367776
13,2447,244,1.000000,-0.062659,0.288093,-0.217494,5.000000,0.581790,0.616013
14,1345,134,1.000000,0.292591,0.360365,0.811930,5.000000,0.226868,0.367776
15,2065,206,1.000000,0.081918,0.290545,0.281946,5.000000,0.394641,0.473569
16,2222,222,1.000000,0.172332,0.158174,1.089507,5.000000,0.162816,0.367776
17,1615,161,1.000000,0.272686,0.255763,1.066166,5.000000,0.167550,0.367776
18,1958,195,1.000000,0.367671,0.342205,1.074418,5.000000,0.165863,0.367776
