ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,-0.125063,0.157694,-0.793073,5.000000,0.768155,0.910737
2,1399,139,1.000000,-0.215741,0.151584,-1.423248,5.000000,0.893024,0.910737
3,4863,486,1.000000,0.222843,0.270064,0.825149,5.000000,0.223427,0.720289
4,5104,510,1.000000,0.209013,0.182160,1.147412,5.000000,0.151566,0.720289
5,888,88,1.000000,0.269171,0.397528,0.677113,5.000000,0.264195,0.720289
6,1015,101,1.000000,0.008446,0.125645,0.067219,5.000000,0.474506,0.776465
7,3526,352,1.000000,-0.046587,0.130407,-0.357240,5.000000,0.632252,0.812896
8,3381,338,1.000000,0.025213,0.249145,0.101200,5.000000,0.461662,0.776465
9,1858,185,1.000000,-0.239147,0.152882,-1.564259,5.000000,0.910737,0.910737
10,1770,177,1.000000,-0.172466,0.144842,-1.190720,5.000000,0.856397,0.910737
11,2147,214,1.000000,-0.026115,0.157905,-0.165382,5.000000,0.562439,0.812896
12,2371,237,1.000000,-0.062363,0.178800,-0.348786,5.000000,0.629271,0.812896
13,2447,244,1.000000,0.023523,0.166629,0.141173,5.000000,0.446623,0.776465
14,1345,134,1.000000,0.055329,0.111321,0.497018,5.000000,0.320128,0.720289
15,2065,206,1.000000,0.186683,0.297723,0.627036,5.000000,0.279075,0.720289
16,2222,222,1.000000,0.141404,0.229967,0.614889,5.000000,0.282765,0.720289
17,1615,161,1.000000,0.117833,0.148107,0.795591,5.000000,0.231175,0.720289
18,1958,195,1.000000,0.144830,0.184994,0.782886,5.000000,0.234566,0.720289
