ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.001807,0.246978,0.007315,5.000000,0.497223,0.526472
2,1399,139,1.000000,0.441199,0.557633,0.791200,5.000000,0.232343,0.380026
3,4863,486,1.000000,0.096898,0.479899,0.201913,5.000000,0.423971,0.508765
4,5104,510,1.000000,0.411906,0.562635,0.732102,5.000000,0.248482,0.380026
5,888,88,1.000000,0.099588,0.436003,0.228412,5.000000,0.414187,0.508765
6,1015,101,1.000000,0.431459,0.525710,0.820717,5.000000,0.224576,0.380026
7,3526,352,1.000000,0.015333,0.160066,0.095792,5.000000,0.463703,0.521666
8,3381,338,1.000000,0.183354,0.180279,1.017060,5.000000,0.177893,0.380026
9,1858,185,1.000000,0.261155,0.365347,0.714814,5.000000,0.253351,0.380026
10,1770,177,1.000000,0.632497,0.588197,1.075313,5.000000,0.165681,0.380026
11,2147,214,1.000000,0.213670,0.257928,0.828411,5.000000,0.222584,0.380026
12,2371,237,1.000000,0.241041,0.245808,0.980610,5.000000,0.185910,0.380026
13,2447,244,1.000000,-0.068644,0.311816,-0.220143,5.000000,0.582767,0.582767
14,1345,134,1.000000,0.428417,0.588519,0.727958,5.000000,0.249643,0.380026
15,2065,206,1.000000,0.225456,0.209246,1.077468,5.000000,0.165244,0.380026
16,2222,222,1.000000,0.261442,0.227468,1.149359,5.000000,0.151200,0.380026
17,1615,161,1.000000,0.161315,0.300502,0.536817,5.000000,0.307205,0.425361
18,1958,195,1.000000,0.339978,0.454386,0.748215,5.000000,0.244005,0.380026
