ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,-0.154485,0.178992,-0.863086,5.000000,0.786230,0.925224
2,1399,139,1.000000,0.070397,0.311115,0.226272,5.000000,0.414975,0.712236
3,4863,486,1.000000,0.029178,0.439559,0.066380,5.000000,0.474824,0.712236
4,5104,510,1.000000,0.123539,0.408703,0.302272,5.000000,0.387307,0.712236
5,888,88,1.000000,0.190956,0.415528,0.459550,5.000000,0.332564,0.712236
6,1015,101,1.000000,0.304802,0.409660,0.744036,5.000000,0.245160,0.712236
7,3526,352,1.000000,-0.208856,0.131010,-1.594205,5.000000,0.914114,0.925224
8,3381,338,1.000000,-0.193703,0.252614,-0.766796,5.000000,0.761087,0.925224
9,1858,185,1.000000,0.226131,0.309925,0.729629,5.000000,0.249175,0.712236
10,1770,177,1.000000,0.427188,0.533975,0.800015,5.000000,0.230003,0.712236
11,2147,214,1.000000,0.100393,0.258390,0.388532,5.000000,0.356808,0.712236
12,2371,237,1.000000,0.092601,0.268687,0.344642,5.000000,0.372193,0.712236
13,2447,244,1.000000,-0.334856,0.196779,-1.701683,5.000000,0.925224,0.925224
14,1345,134,1.000000,0.068256,0.416461,0.163896,5.000000,0.438116,0.712236
15,2065,206,1.000000,-0.327146,0.246185,-1.328862,5.000000,0.879347,0.925224
16,2222,222,1.000000,-0.160290,0.239094,-0.670407,5.000000,0.733844,0.925224
17,1615,161,1.000000,0.191456,0.376293,0.508796,5.000000,0.316272,0.712236
18,1958,195,1.000000,0.282168,0.404525,0.697529,5.000000,0.258284,0.712236
