ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.027883,0.167923,0.166047,5.000000,0.437313,0.463037
2,1399,139,1.000000,0.069320,0.244002,0.284097,5.000000,0.393863,0.463037
3,4863,486,1.000000,0.251081,0.300916,0.834389,5.000000,0.221045,0.443429
4,5104,510,1.000000,0.278897,0.272461,1.023622,5.000000,0.176481,0.443429
5,888,88,1.000000,0.191270,0.160994,1.188059,5.000000,0.144081,0.443429
6,1015,101,1.000000,0.039600,0.213845,0.185180,5.000000,0.430183,0.463037
7,3526,352,1.000000,0.154695,0.191819,0.806467,5.000000,0.228301,0.443429
8,3381,338,1.000000,0.214634,0.331783,0.646911,5.000000,0.273105,0.443429
9,1858,185,1.000000,0.058803,0.138968,0.423137,5.000000,0.344889,0.443429
10,1770,177,1.000000,0.082249,0.183803,0.447487,5.000000,0.336622,0.443429
11,2147,214,1.000000,0.364884,0.243494,1.498532,5.000000,0.097135,0.443429
12,2371,237,1.000000,0.220953,0.184389,1.198299,5.000000,0.142248,0.443429
13,2447,244,1.000000,-0.041591,0.247933,-0.167750,5.000000,0.563323,0.563323
14,1345,134,1.000000,0.223556,0.228718,0.977431,5.000000,0.186623,0.443429
15,2065,206,1.000000,0.158995,0.299544,0.530792,5.000000,0.309142,0.443429
16,2222,222,1.000000,0.335824,0.226786,1.480798,5.000000,0.099372,0.443429
17,1615,161,1.000000,0.103088,0.213861,0.482033,5.000000,0.325071,0.443429
18,1958,195,1.000000,0.123765,0.170940,0.724027,5.000000,0.250748,0.443429
