ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,-0.016590,0.205383,-0.080777,5.000000,0.530624,0.776705
2,1399,139,1.000000,-0.264151,0.396057,-0.666951,5.000000,0.732829,0.776705
3,4863,486,1.000000,0.148436,0.187320,0.792419,5.000000,0.232019,0.776705
4,5104,510,1.000000,-0.087955,0.236071,-0.372580,5.000000,0.637634,0.776705
5,888,88,1.000000,0.222422,0.223844,0.993645,5.000000,0.183009,0.776705
6,1015,101,1.000000,-0.224070,0.366351,-0.611625,5.000000,0.716238,0.776705
7,3526,352,1.000000,-0.052350,0.181311,-0.288728,5.000000,0.607811,0.776705
8,3381,338,1.000000,-0.069921,0.217802,-0.321030,5.000000,0.619414,0.776705
9,1858,185,1.000000,-0.074478,0.193330,-0.385237,5.000000,0.642047,0.776705
10,1770,177,1.000000,-0.256682,0.273383,-0.938912,5.000000,0.804559,0.804559
11,2147,214,1.000000,0.000355,0.119311,0.002977,5.000000,0.498870,0.776705
12,2371,237,1.000000,-0.021249,0.130938,-0.162283,5.000000,0.561281,0.776705
13,2447,244,1.000000,0.005986,0.223711,0.026756,5.000000,0.489845,0.776705
14,1345,134,1.000000,-0.135826,0.258283,-0.525881,5.000000,0.689274,0.776705
15,2065,206,1.000000,-0.143538,0.214421,-0.669423,5.000000,0.733555,0.776705
16,2222,222,1.000000,-0.089110,0.200603,-0.444210,5.000000,0.662272,0.776705
17,1615,161,1.000000,0.111371,0.091174,1.221524,5.000000,0.138167,0.776705
18,1958,195,1.000000,0.027692,0.147843,0.187310,5.000000,0.429391,0.776705
