ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.139702,0.146990,0.950418,5.000000,0.192772,0.292964
2,1399,139,1.000000,0.106651,0.174692,0.610509,5.000000,0.284103,0.365276
3,4863,486,1.000000,0.216156,0.150371,1.437487,5.000000,0.105044,0.271501
4,5104,510,1.000000,0.200412,0.169668,1.181198,5.000000,0.145321,0.271501
5,888,88,1.000000,0.131055,0.110796,1.182845,5.000000,0.145023,0.271501
6,1015,101,1.000000,-0.097412,0.278654,-0.349580,5.000000,0.629552,0.629552
7,3526,352,1.000000,0.171840,0.126481,1.358625,5.000000,0.116172,0.271501
8,3381,338,1.000000,0.307136,0.081256,3.779869,5.000000,0.006446,0.116025
9,1858,185,1.000000,-0.039453,0.127764,-0.308796,5.000000,0.615035,0.629552
10,1770,177,1.000000,-0.051374,0.223435,-0.229928,5.000000,0.586371,0.629552
11,2147,214,1.000000,0.113632,0.098698,1.151310,5.000000,0.150834,0.271501
12,2371,237,1.000000,0.127191,0.135385,0.939476,5.000000,0.195309,0.292964
13,2447,244,1.000000,0.272197,0.199852,1.361994,5.000000,0.115675,0.271501
14,1345,134,1.000000,0.224335,0.130150,1.723656,5.000000,0.072688,0.271501
15,2065,206,1.000000,0.409064,0.251572,1.626027,5.000000,0.082436,0.271501
16,2222,222,1.000000,0.332623,0.182833,1.819272,5.000000,0.064265,0.271501
17,1615,161,1.000000,0.081229,0.170171,0.477341,5.000000,0.326627,0.391953
18,1958,195,1.000000,0.085503,0.131197,0.651715,5.000000,0.271675,0.365276
