ROI,Subject,Weight
1,334_FED_20161221a_3T2_PL2017,1.000000
1,479_FED_20161228d_3T2_PL2017,1.000000
1,522_FED_20161228e_3T2_PL2017,1.000000
1,516_FED_20161217a_3T2_PL2017,1.000000
1,424_FED_20161228c_3T2_PL2017,1.000000
1,426_FED_20161215c_3T2_PL2017,1.000000
2,334_FED_20161221a_3T2_PL2017,1.000000
2,479_FED_20161228d_3T2_PL2017,1.000000
2,522_FED_20161228e_3T2_PL2017,1.000000
2,516_FED_20161217a_3T2_PL2017,1.000000
2,424_FED_20161228c_3T2_PL2017,1.000000
2,426_FED_20161215c_3T2_PL2017,1.000000
3,334_FED_20161221a_3T2_PL2017,1.000000
3,479_FED_20161228d_3T2_PL2017,1.000000
3,522_FED_20161228e_3T2_PL2017,1.000000
3,516_FED_20161217a_3T2_PL2017,1.000000
3,424_FED_20161228c_3T2_PL2017,1.000000
3,426_FED_20161215c_3T2_PL2017,1.000000
4,334_FED_20161221a_3T2_PL2017,1.000000
4,479_FED_20161228d_3T2_PL2017,1.000000
4,522_FED_20161228e_3T2_PL2017,1.000000
4,516_FED_20161217a_3T2_PL2017,1.000000
4,424_FED_20161228c_3T2_PL2017,1.000000
4,426_FED_20161215c_3T2_PL2017,1.000000
5,334_FED_20161221a_3T2_PL2017,1.000000
5,479_FED_20161228d_3T2_PL2017,1.000000
5,522_FED_20161228e_3T2_PL2017,1.000000
5,516_FED_20161217a_3T2_PL2017,1.000000
5,424_FED_20161228c_3T2_PL2017,1.000000
5,426_FED_20161215c_3T2_PL2017,1.000000
6,334_FED_20161221a_3T2_PL2017,1.000000
6,479_FED_20161228d_3T2_PL2017,1.000000
6,522_FED_20161228e_3T2_PL2017,1.000000
6,516_FED_20161217a_3T2_PL2017,1.000000
6,424_FED_20161228c_3T2_PL2017,1.000000
6,426_FED_20161215c_3T2_PL2017,1.000000
7,334_FED_20161221a_3T2_PL2017,1.000000
7,479_FED_20161228d_3T2_PL2017,1.000000
7,522_FED_20161228e_3T2_PL2017,1.000000
7,516_FED_20161217a_3T2_PL2017,1.000000
7,424_FED_20161228c_3T2_PL2017,1.000000
7,426_FED_20161215c_3T2_PL2017,1.000000
8,334_FED_20161221a_3T2_PL2017,1.000000
8,479_FED_20161228d_3T2_PL2017,1.000000
8,522_FED_20161228e_3T2_PL2017,1.000000
8,516_FED_20161217a_3T2_PL2017,1.000000
8,424_FED_20161228c_3T2_PL2017,1.000000
8,426_FED_20161215c_3T2_PL2017,1.000000
9,334_FED_20161221a_3T2_PL2017,1.000000
9,479_FED_20161228d_3T2_PL2017,1.000000
9,522_FED_20161228e_3T2_PL2017,1.000000
9,516_FED_20161217a_3T2_PL2017,1.000000
9,424_FED_20161228c_3T2_PL2017,1.000000
9,426_FED_20161215c_3T2_PL2017,1.000000
10,334_FED_20161221a_3T2_PL2017,1.000000
10,479_FED_20161228d_3T2_PL2017,1.000000
10,522_FED_20161228e_3T2_PL2017,1.000000
10,516_FED_20161217a_3T2_PL2017,1.000000
10,424_FED_20161228c_3T2_PL2017,1.000000
10,426_FED_20161215c_3T2_PL2017,1.000000
11,334_FED_20161221a_3T2_PL2017,1.000000
11,479_FED_20161228d_3T2_PL2017,1.000000
11,522_FED_20161228e_3T2_PL2017,1.000000
11,516_FED_20161217a_3T2_PL2017,1.000000
11,424_FED_20161228c_3T2_PL2017,1.000000
11,426_FED_20161215c_3T2_PL2017,1.000000
12,334_FED_20161221a_3T2_PL2017,1.000000
12,479_FED_20161228d_3T2_PL2017,1.000000
12,522_FED_20161228e_3T2_PL2017,1.000000
12,516_FED_20161217a_3T2_PL2017,1.000000
12,424_FED_20161228c_3T2_PL2017,1.000000
12,426_FED_20161215c_3T2_PL2017,1.000000
13,334_FED_20161221a_3T2_PL2017,1.000000
13,479_FED_20161228d_3T2_PL2017,1.000000
13,522_FED_20161228e_3T2_PL2017,1.000000
13,516_FED_20161217a_3T2_PL2017,1.000000
13,424_FED_20161228c_3T2_PL2017,1.000000
13,426_FED_20161215c_3T2_PL2017,1.000000
14,334_FED_20161221a_3T2_PL2017,1.000000
14,479_FED_20161228d_3T2_PL2017,1.000000
14,522_FED_20161228e_3T2_PL2017,1.000000
14,516_FED_20161217a_3T2_PL2017,1.000000
14,424_FED_20161228c_3T2_PL2017,1.000000
14,426_FED_20161215c_3T2_PL2017,1.000000
15,334_FED_20161221a_3T2_PL2017,1.000000
15,479_FED_20161228d_3T2_PL2017,1.000000
15,522_FED_20161228e_3T2_PL2017,1.000000
15,516_FED_20161217a_3T2_PL2017,1.000000
15,424_FED_20161228c_3T2_PL2017,1.000000
15,426_FED_20161215c_3T2_PL2017,1.000000
16,334_FED_20161221a_3T2_PL2017,1.000000
16,479_FED_20161228d_3T2_PL2017,1.000000
16,522_FED_20161228e_3T2_PL2017,1.000000
16,516_FED_20161217a_3T2_PL2017,1.000000
16,424_FED_20161228c_3T2_PL2017,1.000000
16,426_FED_20161215c_3T2_PL2017,1.000000
17,334_FED_20161221a_3T2_PL2017,1.000000
17,479_FED_20161228d_3T2_PL2017,1.000000
17,522_FED_20161228e_3T2_PL2017,1.000000
17,516_FED_20161217a_3T2_PL2017,1.000000
17,424_FED_20161228c_3T2_PL2017,1.000000
17,426_FED_20161215c_3T2_PL2017,1.000000
18,334_FED_20161221a_3T2_PL2017,1.000000
18,479_FED_20161228d_3T2_PL2017,1.000000
18,522_FED_20161228e_3T2_PL2017,1.000000
18,516_FED_20161217a_3T2_PL2017,1.000000
18,424_FED_20161228c_3T2_PL2017,1.000000
18,426_FED_20161215c_3T2_PL2017,1.000000
