ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.102225,0.151657,0.674050,5.000000,0.265089,0.433891
2,1399,139,1.000000,0.110687,0.184739,0.599155,5.000000,0.287591,0.433891
3,4863,486,1.000000,0.281029,0.290559,0.967203,5.000000,0.188932,0.433891
4,5104,510,1.000000,0.171678,0.291509,0.588929,5.000000,0.290754,0.433891
5,888,88,1.000000,0.120914,0.215154,0.561988,5.000000,0.299191,0.433891
6,1015,101,1.000000,-0.102241,0.204950,-0.498859,5.000000,0.680476,0.680476
7,3526,352,1.000000,0.135381,0.115335,1.173807,5.000000,0.146668,0.433891
8,3381,338,1.000000,0.279495,0.148525,1.881812,5.000000,0.059300,0.433891
9,1858,185,1.000000,-0.040093,0.147947,-0.270993,5.000000,0.601386,0.636762
10,1770,177,1.000000,0.048963,0.185015,0.264641,5.000000,0.400924,0.515474
11,2147,214,1.000000,0.018481,0.162454,0.113761,5.000000,0.456927,0.548312
12,2371,237,1.000000,0.176705,0.123669,1.428855,5.000000,0.106211,0.433891
13,2447,244,1.000000,0.166803,0.259283,0.643323,5.000000,0.274177,0.433891
14,1345,134,1.000000,0.176877,0.141701,1.248241,5.000000,0.133604,0.433891
15,2065,206,1.000000,0.293733,0.277551,1.058304,5.000000,0.169171,0.433891
16,2222,222,1.000000,0.327282,0.221295,1.478942,5.000000,0.099608,0.433891
17,1615,161,1.000000,-0.008521,0.229550,-0.037121,5.000000,0.514088,0.578348
18,1958,195,1.000000,0.063935,0.123492,0.517728,5.000000,0.313366,0.433891
