ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.037477,0.126588,0.296056,5.000000,0.389545,0.619885
2,1399,139,1.000000,-0.004036,0.092425,-0.043669,5.000000,0.516571,0.619885
3,4863,486,1.000000,-0.064873,0.228933,-0.283373,5.000000,0.605875,0.677079
4,5104,510,1.000000,0.028734,0.149293,0.192464,5.000000,0.427476,0.619885
5,888,88,1.000000,0.010140,0.225513,0.044966,5.000000,0.482937,0.619885
6,1015,101,1.000000,0.004829,0.150267,0.032137,5.000000,0.487803,0.619885
7,3526,352,1.000000,0.036459,0.127767,0.285353,5.000000,0.393408,0.619885
8,3381,338,1.000000,0.027641,0.092347,0.299319,5.000000,0.388370,0.619885
9,1858,185,1.000000,0.000640,0.127733,0.005007,5.000000,0.498099,0.619885
10,1770,177,1.000000,-0.100337,0.148167,-0.677185,5.000000,0.735826,0.735826
11,2147,214,1.000000,0.095152,0.176067,0.540427,5.000000,0.306048,0.619885
12,2371,237,1.000000,-0.049513,0.131050,-0.377819,5.000000,0.639464,0.677079
13,2447,244,1.000000,0.105394,0.120607,0.873866,5.000000,0.211085,0.619885
14,1345,134,1.000000,0.047458,0.097017,0.489169,5.000000,0.322712,0.619885
15,2065,206,1.000000,0.115331,0.161135,0.715739,5.000000,0.253088,0.619885
16,2222,222,1.000000,0.005341,0.147087,0.036309,5.000000,0.486221,0.619885
17,1615,161,1.000000,0.089751,0.214667,0.418093,5.000000,0.346614,0.619885
18,1958,195,1.000000,0.021568,0.180077,0.119769,5.000000,0.454665,0.619885
