ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,-0.054067,0.249533,-0.216674,5.000000,0.581487,0.807174
2,1399,139,1.000000,-0.260115,0.379425,-0.685550,5.000000,0.738259,0.807174
3,4863,486,1.000000,0.213309,0.243452,0.876185,5.000000,0.210511,0.807174
4,5104,510,1.000000,-0.116689,0.239045,-0.488146,5.000000,0.676950,0.807174
5,888,88,1.000000,0.212281,0.160808,1.320089,5.000000,0.122004,0.807174
6,1015,101,1.000000,-0.228899,0.317776,-0.720316,5.000000,0.748206,0.807174
7,3526,352,1.000000,-0.088808,0.199342,-0.445507,5.000000,0.662710,0.807174
8,3381,338,1.000000,-0.097562,0.276054,-0.353416,5.000000,0.630905,0.807174
9,1858,185,1.000000,-0.075117,0.174627,-0.430159,5.000000,0.657505,0.807174
10,1770,177,1.000000,-0.156346,0.223616,-0.699171,5.000000,0.742188,0.807174
11,2147,214,1.000000,-0.094796,0.134328,-0.705707,5.000000,0.744058,0.807174
12,2371,237,1.000000,0.028264,0.110090,0.256738,5.000000,0.403805,0.807174
13,2447,244,1.000000,-0.099409,0.239115,-0.415736,5.000000,0.652578,0.807174
14,1345,134,1.000000,-0.183284,0.192893,-0.950184,5.000000,0.807174,0.807174
15,2065,206,1.000000,-0.258869,0.332327,-0.778959,5.000000,0.764378,0.807174
16,2222,222,1.000000,-0.094451,0.247257,-0.381994,5.000000,0.640919,0.807174
17,1615,161,1.000000,0.021621,0.191603,0.112840,5.000000,0.457274,0.807174
18,1958,195,1.000000,0.006125,0.117414,0.052166,5.000000,0.480208,0.807174
