ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,-0.044473,0.262096,-0.169683,5.000000,0.564044,0.921694
2,1399,139,1.000000,-0.333471,0.599398,-0.556343,5.000000,0.699023,0.921694
3,4863,486,1.000000,-0.102645,0.336684,-0.304871,5.000000,0.613627,0.921694
4,5104,510,1.000000,-0.366853,0.431156,-0.850857,5.000000,0.783153,0.921694
5,888,88,1.000000,0.031152,0.209507,0.148690,5.000000,0.443805,0.921694
6,1015,101,1.000000,-0.263669,0.372776,-0.707313,5.000000,0.744517,0.921694
7,3526,352,1.000000,-0.207045,0.227991,-0.908130,5.000000,0.797274,0.921694
8,3381,338,1.000000,-0.284555,0.335960,-0.846992,5.000000,0.782173,0.921694
9,1858,185,1.000000,-0.133280,0.187711,-0.710030,5.000000,0.745291,0.921694
10,1770,177,1.000000,-0.338932,0.263547,-1.286041,5.000000,0.872619,0.921694
11,2147,214,1.000000,-0.364529,0.218818,-1.665904,5.000000,0.921694,0.921694
12,2371,237,1.000000,-0.242202,0.183628,-1.318981,5.000000,0.877825,0.921694
13,2447,244,1.000000,0.047576,0.272018,0.174902,5.000000,0.434009,0.921694
14,1345,134,1.000000,-0.359382,0.439486,-0.817733,5.000000,0.774648,0.921694
15,2065,206,1.000000,-0.302533,0.400945,-0.754552,5.000000,0.757740,0.921694
16,2222,222,1.000000,-0.424934,0.372887,-1.139578,5.000000,0.846953,0.921694
17,1615,161,1.000000,0.008283,0.176390,0.046960,5.000000,0.482181,0.921694
18,1958,195,1.000000,-0.096073,0.110919,-0.866158,5.000000,0.786997,0.921694
