ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,-0.052261,0.174378,-0.299698,5.000000,0.611767,0.688238
2,1399,139,1.000000,0.181084,0.198910,0.910383,5.000000,0.202185,0.429250
3,4863,486,1.000000,0.310207,0.415589,0.746428,5.000000,0.244498,0.429250
4,5104,510,1.000000,0.295218,0.372343,0.792864,5.000000,0.231900,0.429250
5,888,88,1.000000,0.311870,0.517739,0.602369,5.000000,0.286601,0.429250
6,1015,101,1.000000,0.202561,0.237689,0.852208,5.000000,0.216506,0.429250
7,3526,352,1.000000,-0.073475,0.106227,-0.691684,5.000000,0.740033,0.740033
8,3381,338,1.000000,0.085792,0.206463,0.415533,5.000000,0.347491,0.446774
9,1858,185,1.000000,0.186038,0.235397,0.790317,5.000000,0.232579,0.429250
10,1770,177,1.000000,0.476151,0.393387,1.210386,5.000000,0.140111,0.429250
11,2147,214,1.000000,0.118874,0.225102,0.528087,5.000000,0.310014,0.429250
12,2371,237,1.000000,0.269306,0.222018,1.212988,5.000000,0.139655,0.429250
13,2447,244,1.000000,-0.168053,0.343163,-0.489717,5.000000,0.677469,0.717320
14,1345,134,1.000000,0.245133,0.412430,0.594363,5.000000,0.289071,0.429250
15,2065,206,1.000000,-0.033413,0.378137,-0.088362,5.000000,0.533490,0.640189
16,2222,222,1.000000,0.166991,0.181117,0.922011,5.000000,0.199415,0.429250
17,1615,161,1.000000,0.182935,0.331769,0.551393,5.000000,0.302549,0.429250
18,1958,195,1.000000,0.346103,0.402979,0.858862,5.000000,0.214829,0.429250
