ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,-0.162540,0.243112,-0.668579,5.000000,0.733307,0.824971
2,1399,139,1.000000,-0.211705,0.105820,-2.000617,5.000000,0.949070,0.949070
3,4863,486,1.000000,0.287717,0.390990,0.735868,5.000000,0.247431,0.824971
4,5104,510,1.000000,0.180279,0.176082,1.023834,5.000000,0.176435,0.824971
5,888,88,1.000000,0.259031,0.485919,0.533075,5.000000,0.308408,0.824971
6,1015,101,1.000000,0.003617,0.205309,0.017616,5.000000,0.493313,0.824971
7,3526,352,1.000000,-0.083045,0.185501,-0.447682,5.000000,0.663444,0.824971
8,3381,338,1.000000,-0.002428,0.285295,-0.008510,5.000000,0.503230,0.824971
9,1858,185,1.000000,-0.239787,0.207360,-1.156380,5.000000,0.850114,0.900121
10,1770,177,1.000000,-0.072130,0.188429,-0.382795,5.000000,0.641198,0.824971
11,2147,214,1.000000,-0.121266,0.190625,-0.636151,5.000000,0.723673,0.824971
12,2371,237,1.000000,-0.012850,0.168206,-0.076392,5.000000,0.528965,0.824971
13,2447,244,1.000000,-0.081871,0.222136,-0.368562,5.000000,0.636228,0.824971
14,1345,134,1.000000,0.007871,0.060045,0.131078,5.000000,0.450412,0.824971
15,2065,206,1.000000,0.071352,0.393592,0.181284,5.000000,0.431632,0.824971
16,2222,222,1.000000,0.136063,0.248509,0.547520,5.000000,0.303782,0.824971
17,1615,161,1.000000,0.028082,0.277802,0.101087,5.000000,0.461705,0.824971
18,1958,195,1.000000,0.123262,0.283350,0.435017,5.000000,0.340843,0.824971
