ROI,Subject,Session/Partition,LocalizerSize
1,334_FED_20161221a_3T2_PL2017,1,103
1,479_FED_20161228d_3T2_PL2017,1,103
1,522_FED_20161228e_3T2_PL2017,1,103
1,516_FED_20161217a_3T2_PL2017,1,103
1,424_FED_20161228c_3T2_PL2017,1,103
1,426_FED_20161215c_3T2_PL2017,1,103
2,334_FED_20161221a_3T2_PL2017,1,139
2,479_FED_20161228d_3T2_PL2017,1,139
2,522_FED_20161228e_3T2_PL2017,1,139
2,516_FED_20161217a_3T2_PL2017,1,139
2,424_FED_20161228c_3T2_PL2017,1,139
2,426_FED_20161215c_3T2_PL2017,1,139
3,334_FED_20161221a_3T2_PL2017,1,486
3,479_FED_20161228d_3T2_PL2017,1,486
3,522_FED_20161228e_3T2_PL2017,1,486
3,516_FED_20161217a_3T2_PL2017,1,486
3,424_FED_20161228c_3T2_PL2017,1,486
3,426_FED_20161215c_3T2_PL2017,1,486
4,334_FED_20161221a_3T2_PL2017,1,510
4,479_FED_20161228d_3T2_PL2017,1,510
4,522_FED_20161228e_3T2_PL2017,1,510
4,516_FED_20161217a_3T2_PL2017,1,510
4,424_FED_20161228c_3T2_PL2017,1,510
4,426_FED_20161215c_3T2_PL2017,1,510
5,334_FED_20161221a_3T2_PL2017,1,88
5,479_FED_20161228d_3T2_PL2017,1,88
5,522_FED_20161228e_3T2_PL2017,1,88
5,516_FED_20161217a_3T2_PL2017,1,88
5,424_FED_20161228c_3T2_PL2017,1,88
5,426_FED_20161215c_3T2_PL2017,1,88
6,334_FED_20161221a_3T2_PL2017,1,101
6,479_FED_20161228d_3T2_PL2017,1,101
6,522_FED_20161228e_3T2_PL2017,1,101
6,516_FED_20161217a_3T2_PL2017,1,101
6,424_FED_20161228c_3T2_PL2017,1,101
6,426_FED_20161215c_3T2_PL2017,1,101
7,334_FED_20161221a_3T2_PL2017,1,352
7,479_FED_20161228d_3T2_PL2017,1,352
7,522_FED_20161228e_3T2_PL2017,1,352
7,516_FED_20161217a_3T2_PL2017,1,352
7,424_FED_20161228c_3T2_PL2017,1,352
7,426_FED_20161215c_3T2_PL2017,1,352
8,334_FED_20161221a_3T2_PL2017,1,338
8,479_FED_20161228d_3T2_PL2017,1,338
8,522_FED_20161228e_3T2_PL2017,1,338
8,516_FED_20161217a_3T2_PL2017,1,338
8,424_FED_20161228c_3T2_PL2017,1,338
8,426_FED_20161215c_3T2_PL2017,1,338
9,334_FED_20161221a_3T2_PL2017,1,185
9,479_FED_20161228d_3T2_PL2017,1,185
9,522_FED_20161228e_3T2_PL2017,1,185
9,516_FED_20161217a_3T2_PL2017,1,185
9,424_FED_20161228c_3T2_PL2017,1,185
9,426_FED_20161215c_3T2_PL2017,1,185
10,334_FED_20161221a_3T2_PL2017,1,177
10,479_FED_20161228d_3T2_PL2017,1,177
10,522_FED_20161228e_3T2_PL2017,1,177
10,516_FED_20161217a_3T2_PL2017,1,177
10,424_FED_20161228c_3T2_PL2017,1,177
10,426_FED_20161215c_3T2_PL2017,1,177
11,334_FED_20161221a_3T2_PL2017,1,214
11,479_FED_20161228d_3T2_PL2017,1,214
11,522_FED_20161228e_3T2_PL2017,1,214
11,516_FED_20161217a_3T2_PL2017,1,214
11,424_FED_20161228c_3T2_PL2017,1,214
11,426_FED_20161215c_3T2_PL2017,1,214
12,334_FED_20161221a_3T2_PL2017,1,237
12,479_FED_20161228d_3T2_PL2017,1,237
12,522_FED_20161228e_3T2_PL2017,1,237
12,516_FED_20161217a_3T2_PL2017,1,237
12,424_FED_20161228c_3T2_PL2017,1,237
12,426_FED_20161215c_3T2_PL2017,1,237
13,334_FED_20161221a_3T2_PL2017,1,244
13,479_FED_20161228d_3T2_PL2017,1,244
13,522_FED_20161228e_3T2_PL2017,1,244
13,516_FED_20161217a_3T2_PL2017,1,244
13,424_FED_20161228c_3T2_PL2017,1,244
13,426_FED_20161215c_3T2_PL2017,1,244
14,334_FED_20161221a_3T2_PL2017,1,134
14,479_FED_20161228d_3T2_PL2017,1,134
14,522_FED_20161228e_3T2_PL2017,1,134
14,516_FED_20161217a_3T2_PL2017,1,134
14,424_FED_20161228c_3T2_PL2017,1,134
14,426_FED_20161215c_3T2_PL2017,1,134
15,334_FED_20161221a_3T2_PL2017,1,206
15,479_FED_20161228d_3T2_PL2017,1,206
15,522_FED_20161228e_3T2_PL2017,1,206
15,516_FED_20161217a_3T2_PL2017,1,206
15,424_FED_20161228c_3T2_PL2017,1,206
15,426_FED_20161215c_3T2_PL2017,1,206
16,334_FED_20161221a_3T2_PL2017,1,222
16,479_FED_20161228d_3T2_PL2017,1,222
16,522_FED_20161228e_3T2_PL2017,1,222
16,516_FED_20161217a_3T2_PL2017,1,222
16,424_FED_20161228c_3T2_PL2017,1,222
16,426_FED_20161215c_3T2_PL2017,1,222
17,334_FED_20161221a_3T2_PL2017,1,161
17,479_FED_20161228d_3T2_PL2017,1,161
17,522_FED_20161228e_3T2_PL2017,1,161
17,516_FED_20161217a_3T2_PL2017,1,161
17,424_FED_20161228c_3T2_PL2017,1,161
17,426_FED_20161215c_3T2_PL2017,1,161
18,334_FED_20161221a_3T2_PL2017,1,195
18,479_FED_20161228d_3T2_PL2017,1,195
18,522_FED_20161228e_3T2_PL2017,1,195
18,516_FED_20161217a_3T2_PL2017,1,195
18,424_FED_20161228c_3T2_PL2017,1,195
18,426_FED_20161215c_3T2_PL2017,1,195
