ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.009594,0.134861,0.071140,5.000000,0.473022,0.973401
2,1399,139,1.000000,-0.073356,0.237804,-0.308473,5.000000,0.614920,0.973401
3,4863,486,1.000000,-0.315954,0.212319,-1.488114,5.000000,0.901557,0.973401
4,5104,510,1.000000,-0.250164,0.219737,-1.138470,5.000000,0.846742,0.973401
5,888,88,1.000000,-0.181130,0.193905,-0.934119,5.000000,0.803439,0.973401
6,1015,101,1.000000,-0.034771,0.155077,-0.224215,5.000000,0.584268,0.973401
7,3526,352,1.000000,-0.118237,0.128879,-0.917428,5.000000,0.799497,0.973401
8,3381,338,1.000000,-0.186993,0.311961,-0.599412,5.000000,0.712489,0.973401
9,1858,185,1.000000,-0.058163,0.113894,-0.510679,5.000000,0.684342,0.973401
10,1770,177,1.000000,-0.182586,0.072465,-2.519638,5.000000,0.973401,0.973401
11,2147,214,1.000000,-0.269733,0.147281,-1.831410,5.000000,0.936731,0.973401
12,2371,237,1.000000,-0.270466,0.142676,-1.895672,5.000000,0.941746,0.973401
13,2447,244,1.000000,0.146985,0.264830,0.555016,5.000000,0.301398,0.973401
14,1345,134,1.000000,-0.176098,0.251249,-0.700892,5.000000,0.742681,0.973401
15,2065,206,1.000000,-0.043665,0.275304,-0.158605,5.000000,0.559906,0.973401
16,2222,222,1.000000,-0.330484,0.178085,-1.855762,5.000000,0.938681,0.973401
17,1615,161,1.000000,-0.013337,0.113545,-0.117462,5.000000,0.544467,0.973401
18,1958,195,1.000000,-0.102198,0.111123,-0.919679,5.000000,0.800032,0.973401
