ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;SameAll],mean[1;SameMan],mean[1;SamePath],mean[1;SameAg],mean[1;DiffAll],mean[1;Cont],mean[1;DiffAll-Cont],mean[1;SameMan-Cont],mean[1;SamePath-Cont],mean[1;SameAg-Cont],mean[1;SameAll-Cont],mean[1;All-Cont],mean[1;DiffAll-SameAll],mean[1;DiffAll-SameMan],mean[1;DiffAll-SamePath],mean[1;DiffAll-SameAg],mean[1;SameMan-SameAll],mean[1;SamePath-SameAll],mean[1;SameAg-SameAll],stderr[1;SameAll],stderr[1;SameMan],stderr[1;SamePath],stderr[1;SameAg],stderr[1;DiffAll],stderr[1;Cont],stderr[1;DiffAll-Cont],stderr[1;SameMan-Cont],stderr[1;SamePath-Cont],stderr[1;SameAg-Cont],stderr[1;SameAll-Cont],stderr[1;All-Cont],stderr[1;DiffAll-SameAll],stderr[1;DiffAll-SameMan],stderr[1;DiffAll-SamePath],stderr[1;DiffAll-SameAg],stderr[1;SameMan-SameAll],stderr[1;SamePath-SameAll],stderr[1;SameAg-SameAll],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.037477,-0.125063,-0.016590,0.139702,-0.014784,0.027883,-0.042667,-0.152946,-0.044473,0.111819,0.009594,-0.023735,-0.052261,0.110279,0.001807,-0.154485,-0.162540,-0.054067,0.102225,0.126588,0.157694,0.205383,0.146990,0.119328,0.167923,0.108199,0.245602,0.262096,0.167385,0.134861,0.148304,0.174378,0.196750,0.246978,0.178992,0.243112,0.249533,0.151657,NaN,-13.000000,NaN,NaN
2,1399,139,1.000000,-0.004036,-0.215741,-0.264151,0.106651,0.177048,0.069320,0.107728,-0.285062,-0.333471,0.037331,-0.073356,-0.109366,0.181084,0.392789,0.441199,0.070397,-0.211705,-0.260115,0.110687,0.092425,0.151584,0.396057,0.174692,0.166406,0.244002,0.127774,0.317997,0.599398,0.379312,0.237804,0.311632,0.198910,0.290173,0.557633,0.311115,0.105820,0.379425,0.184739,NaN,-13.000000,NaN,NaN
3,4863,486,1.000000,-0.064873,0.222843,0.148436,0.216156,0.245334,0.251081,-0.005747,-0.028238,-0.102645,-0.034925,-0.315954,-0.097502,0.310207,0.022490,0.096898,0.029178,0.287717,0.213309,0.281029,0.228933,0.270064,0.187320,0.150371,0.399090,0.300916,0.247677,0.303291,0.336684,0.323270,0.212319,0.188275,0.415589,0.299379,0.479899,0.439559,0.390990,0.243452,0.290559,NaN,-13.000000,NaN,NaN
4,5104,510,1.000000,0.028734,0.209013,-0.087955,0.200412,0.323951,0.278897,0.045054,-0.069885,-0.366853,-0.078485,-0.250164,-0.144066,0.295218,0.114939,0.411906,0.123539,0.180279,-0.116689,0.171678,0.149293,0.182160,0.236071,0.169668,0.337602,0.272461,0.233689,0.246979,0.431156,0.373912,0.219737,0.224779,0.372343,0.316346,0.562635,0.408703,0.176082,0.239045,0.291509,NaN,-13.000000,NaN,NaN
5,888,88,1.000000,0.010140,0.269171,0.222422,0.131055,0.322010,0.191270,0.130740,0.077901,0.031152,-0.060216,-0.181130,-0.000311,0.311870,0.052839,0.099588,0.190956,0.259031,0.212281,0.120914,0.225513,0.397528,0.223844,0.110796,0.432839,0.160994,0.364576,0.396802,0.209507,0.111500,0.193905,0.152557,0.517739,0.242828,0.436003,0.415528,0.485919,0.160808,0.215154,NaN,-13.000000,NaN,NaN
6,1015,101,1.000000,0.004829,0.008446,-0.224070,-0.097412,0.207390,0.039600,0.167790,-0.031154,-0.263669,-0.137012,-0.034771,-0.059763,0.202561,0.198944,0.431459,0.304802,0.003617,-0.228899,-0.102241,0.150267,0.125645,0.366351,0.278654,0.226855,0.213845,0.207947,0.220190,0.372776,0.258800,0.155077,0.145838,0.237689,0.167171,0.525710,0.409660,0.205309,0.317776,0.204950,NaN,-13.000000,NaN,NaN
7,3526,352,1.000000,0.036459,-0.046587,-0.052350,0.171840,-0.037017,0.154695,-0.191712,-0.201282,-0.207045,0.017144,-0.118237,-0.140226,-0.073475,0.009570,0.015333,-0.208856,-0.083045,-0.088808,0.135381,0.127767,0.130407,0.181311,0.126481,0.116933,0.191819,0.111036,0.225523,0.227991,0.217226,0.128879,0.165044,0.106227,0.133621,0.160066,0.131010,0.185501,0.199342,0.115335,NaN,-13.000000,NaN,NaN
8,3381,338,1.000000,0.027641,0.025213,-0.069921,0.307136,0.113433,0.214634,-0.101201,-0.189421,-0.284555,0.092502,-0.186993,-0.133934,0.085792,0.088220,0.183354,-0.193703,-0.002428,-0.097562,0.279495,0.092347,0.249145,0.217802,0.081256,0.200290,0.331783,0.172908,0.231018,0.335960,0.389356,0.311961,0.264665,0.206463,0.111286,0.180279,0.252614,0.285295,0.276054,0.148525,NaN,-13.000000,NaN,NaN
9,1858,185,1.000000,0.000640,-0.239147,-0.074478,-0.039453,0.186678,0.058803,0.127875,-0.297950,-0.133280,-0.098256,-0.058163,-0.091955,0.186038,0.425825,0.261155,0.226131,-0.239787,-0.075117,-0.040093,0.127733,0.152882,0.193330,0.127764,0.221882,0.138968,0.267766,0.123709,0.187711,0.089028,0.113894,0.080359,0.235397,0.270793,0.365347,0.309925,0.207360,0.174627,0.147947,NaN,-13.000000,NaN,NaN
10,1770,177,1.000000,-0.100337,-0.172466,-0.256682,-0.051374,0.375814,0.082249,0.293565,-0.254716,-0.338932,-0.133623,-0.182586,-0.123258,0.476151,0.548280,0.632497,0.427188,-0.072130,-0.156346,0.048963,0.148167,0.144842,0.273383,0.223435,0.338685,0.183803,0.381031,0.222262,0.263547,0.233264,0.072465,0.126809,0.393387,0.271707,0.588197,0.533975,0.188429,0.223616,0.185015,NaN,-13.000000,NaN,NaN
