ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.110279,0.196750,0.560502,5.000000,0.299661,0.490354
2,1399,139,1.000000,0.392789,0.290173,1.353639,5.000000,0.116912,0.489866
3,4863,486,1.000000,0.022490,0.299379,0.075124,5.000000,0.471515,0.531945
4,5104,510,1.000000,0.114939,0.316346,0.363332,5.000000,0.365606,0.531945
5,888,88,1.000000,0.052839,0.242828,0.217598,5.000000,0.418172,0.531945
6,1015,101,1.000000,0.198944,0.167171,1.190061,5.000000,0.143721,0.489866
7,3526,352,1.000000,0.009570,0.133621,0.071620,5.000000,0.472840,0.531945
8,3381,338,1.000000,0.088220,0.111286,0.792730,5.000000,0.231936,0.490354
9,1858,185,1.000000,0.425825,0.270793,1.572508,5.000000,0.088320,0.489866
10,1770,177,1.000000,0.548280,0.271707,2.017911,5.000000,0.049818,0.489866
11,2147,214,1.000000,0.240140,0.259648,0.924868,5.000000,0.198738,0.490354
12,2371,237,1.000000,0.282155,0.255871,1.102726,5.000000,0.160186,0.489866
13,2447,244,1.000000,-0.086182,0.256589,-0.335876,5.000000,0.624700,0.661447
14,1345,134,1.000000,0.237262,0.380353,0.623795,5.000000,0.280057,0.490354
15,2065,206,1.000000,-0.104765,0.176094,-0.594938,5.000000,0.711108,0.711108
16,2222,222,1.000000,0.030928,0.226900,0.136307,5.000000,0.448448,0.531945
17,1615,161,1.000000,0.154853,0.221573,0.698883,5.000000,0.257895,0.490354
18,1958,195,1.000000,0.222841,0.204977,1.087151,5.000000,0.163289,0.489866
