ROI,Effect,MeanEffect,StdEffect,StderrEffect
1,SameAll,0.037477,0.310075,0.126588
1,SameMan,-0.125063,0.386269,0.157694
1,SamePath,-0.016590,0.503083,0.205383
1,SameAg,0.139702,0.360050,0.146990
1,DiffAll,-0.014784,0.292292,0.119328
1,Cont,0.027883,0.411325,0.167923
1,DiffAll-Cont,-0.042667,0.265033,0.108199
1,SameMan-Cont,-0.152946,0.601601,0.245602
1,SamePath-Cont,-0.044473,0.642002,0.262096
1,SameAg-Cont,0.111819,0.410007,0.167385
1,SameAll-Cont,0.009594,0.330340,0.134861
1,All-Cont,-0.023735,0.363270,0.148304
1,DiffAll-SameAll,-0.052261,0.427136,0.174378
1,DiffAll-SameMan,0.110279,0.481937,0.196750
1,DiffAll-SamePath,0.001807,0.604970,0.246978
1,DiffAll-SameAg,-0.154485,0.438439,0.178992
1,SameMan-SameAll,-0.162540,0.595501,0.243112
1,SamePath-SameAll,-0.054067,0.611230,0.249533
1,SameAg-SameAll,0.102225,0.371483,0.151657
2,SameAll,-0.004036,0.226395,0.092425
2,SameMan,-0.215741,0.371303,0.151584
2,SamePath,-0.264151,0.970138,0.396057
2,SameAg,0.106651,0.427907,0.174692
2,DiffAll,0.177048,0.407610,0.166406
2,Cont,0.069320,0.597681,0.244002
2,DiffAll-Cont,0.107728,0.312982,0.127774
2,SameMan-Cont,-0.285062,0.778931,0.317997
2,SamePath-Cont,-0.333471,1.468220,0.599398
2,SameAg-Cont,0.037331,0.929121,0.379312
2,SameAll-Cont,-0.073356,0.582499,0.237804
2,All-Cont,-0.109366,0.763340,0.311632
2,DiffAll-SameAll,0.181084,0.487227,0.198910
2,DiffAll-SameMan,0.392789,0.710775,0.290173
2,DiffAll-SamePath,0.441199,1.365916,0.557633
2,DiffAll-SameAg,0.070397,0.762073,0.311115
2,SameMan-SameAll,-0.211705,0.259205,0.105820
2,SamePath-SameAll,-0.260115,0.929398,0.379425
2,SameAg-SameAll,0.110687,0.452517,0.184739
3,SameAll,-0.064873,0.560769,0.228933
3,SameMan,0.222843,0.661520,0.270064
3,SamePath,0.148436,0.458838,0.187320
3,SameAg,0.216156,0.368331,0.150371
3,DiffAll,0.245334,0.977566,0.399090
3,Cont,0.251081,0.737090,0.300916
3,DiffAll-Cont,-0.005747,0.606682,0.247677
3,SameMan-Cont,-0.028238,0.742907,0.303291
3,SamePath-Cont,-0.102645,0.824704,0.336684
3,SameAg-Cont,-0.034925,0.791847,0.323270
3,SameAll-Cont,-0.315954,0.520072,0.212319
3,All-Cont,-0.097502,0.461177,0.188275
3,DiffAll-SameAll,0.310207,1.017981,0.415589
3,DiffAll-SameMan,0.022490,0.733325,0.299379
3,DiffAll-SamePath,0.096898,1.175509,0.479899
3,DiffAll-SameAg,0.029178,1.076696,0.439559
3,SameMan-SameAll,0.287717,0.957725,0.390990
3,SamePath-SameAll,0.213309,0.596333,0.243452
3,SameAg-SameAll,0.281029,0.711721,0.290559
4,SameAll,0.028734,0.365692,0.149293
4,SameMan,0.209013,0.446199,0.182160
4,SamePath,-0.087955,0.578253,0.236071
4,SameAg,0.200412,0.415601,0.169668
4,DiffAll,0.323951,0.826953,0.337602
4,Cont,0.278897,0.667391,0.272461
4,DiffAll-Cont,0.045054,0.572419,0.233689
4,SameMan-Cont,-0.069885,0.604972,0.246979
4,SamePath-Cont,-0.366853,1.056113,0.431156
4,SameAg-Cont,-0.078485,0.915895,0.373912
4,SameAll-Cont,-0.250164,0.538243,0.219737
4,All-Cont,-0.144066,0.550594,0.224779
4,DiffAll-SameAll,0.295218,0.912051,0.372343
4,DiffAll-SameMan,0.114939,0.774887,0.316346
4,DiffAll-SamePath,0.411906,1.378169,0.562635
4,DiffAll-SameAg,0.123539,1.001114,0.408703
4,SameMan-SameAll,0.180279,0.431312,0.176082
4,SamePath-SameAll,-0.116689,0.585538,0.239045
4,SameAg-SameAll,0.171678,0.714049,0.291509
5,SameAll,0.010140,0.552392,0.225513
5,SameMan,0.269171,0.973740,0.397528
5,SamePath,0.222422,0.548305,0.223844
5,SameAg,0.131055,0.271394,0.110796
5,DiffAll,0.322010,1.060234,0.432839
5,Cont,0.191270,0.394353,0.160994
5,DiffAll-Cont,0.130740,0.893026,0.364576
5,SameMan-Cont,0.077901,0.971963,0.396802
5,SamePath-Cont,0.031152,0.513185,0.209507
5,SameAg-Cont,-0.060216,0.273119,0.111500
5,SameAll-Cont,-0.181130,0.474967,0.193905
5,All-Cont,-0.000311,0.373688,0.152557
5,DiffAll-SameAll,0.311870,1.268197,0.517739
5,DiffAll-SameMan,0.052839,0.594805,0.242828
5,DiffAll-SamePath,0.099588,1.067986,0.436003
5,DiffAll-SameAg,0.190956,1.017831,0.415528
5,SameMan-SameAll,0.259031,1.190253,0.485919
5,SamePath-SameAll,0.212281,0.393899,0.160808
5,SameAg-SameAll,0.120914,0.527018,0.215154
6,SameAll,0.004829,0.368076,0.150267
6,SameMan,0.008446,0.307767,0.125645
6,SamePath,-0.224070,0.897374,0.366351
6,SameAg,-0.097412,0.682560,0.278654
6,DiffAll,0.207390,0.555678,0.226855
6,Cont,0.039600,0.523810,0.213845
6,DiffAll-Cont,0.167790,0.509364,0.207947
6,SameMan-Cont,-0.031154,0.539352,0.220190
6,SamePath-Cont,-0.263669,0.913111,0.372776
6,SameAg-Cont,-0.137012,0.633927,0.258800
6,SameAll-Cont,-0.034771,0.379860,0.155077
6,All-Cont,-0.059763,0.357228,0.145838
6,DiffAll-SameAll,0.202561,0.582217,0.237689
6,DiffAll-SameMan,0.198944,0.409484,0.167171
6,DiffAll-SamePath,0.431459,1.287721,0.525710
6,DiffAll-SameAg,0.304802,1.003458,0.409660
6,SameMan-SameAll,0.003617,0.502902,0.205309
6,SamePath-SameAll,-0.228899,0.778388,0.317776
6,SameAg-SameAll,-0.102241,0.502023,0.204950
7,SameAll,0.036459,0.312964,0.127767
7,SameMan,-0.046587,0.319430,0.130407
7,SamePath,-0.052350,0.444120,0.181311
7,SameAg,0.171840,0.309813,0.126481
7,DiffAll,-0.037017,0.286427,0.116933
7,Cont,0.154695,0.469858,0.191819
7,DiffAll-Cont,-0.191712,0.271981,0.111036
7,SameMan-Cont,-0.201282,0.552417,0.225523
7,SamePath-Cont,-0.207045,0.558461,0.227991
7,SameAg-Cont,0.017144,0.532093,0.217226
7,SameAll-Cont,-0.118237,0.315687,0.128879
7,All-Cont,-0.140226,0.404275,0.165044
7,DiffAll-SameAll,-0.073475,0.260201,0.106227
7,DiffAll-SameMan,0.009570,0.327303,0.133621
7,DiffAll-SamePath,0.015333,0.392079,0.160066
7,DiffAll-SameAg,-0.208856,0.320907,0.131010
7,SameMan-SameAll,-0.083045,0.454382,0.185501
7,SamePath-SameAll,-0.088808,0.488286,0.199342
7,SameAg-SameAll,0.135381,0.282512,0.115335
8,SameAll,0.027641,0.226203,0.092347
8,SameMan,0.025213,0.610277,0.249145
8,SamePath,-0.069921,0.533504,0.217802
8,SameAg,0.307136,0.199035,0.081256
8,DiffAll,0.113433,0.490609,0.200290
8,Cont,0.214634,0.812700,0.331783
8,DiffAll-Cont,-0.101201,0.423538,0.172908
8,SameMan-Cont,-0.189421,0.565876,0.231018
8,SamePath-Cont,-0.284555,0.822930,0.335960
8,SameAg-Cont,0.092502,0.953724,0.389356
8,SameAll-Cont,-0.186993,0.764145,0.311961
8,All-Cont,-0.133934,0.648294,0.264665
8,DiffAll-SameAll,0.085792,0.505728,0.206463
8,DiffAll-SameMan,0.088220,0.272594,0.111286
8,DiffAll-SamePath,0.183354,0.441591,0.180279
8,DiffAll-SameAg,-0.193703,0.618775,0.252614
8,SameMan-SameAll,-0.002428,0.698827,0.285295
8,SamePath-SameAll,-0.097562,0.676192,0.276054
8,SameAg-SameAll,0.279495,0.363810,0.148525
9,SameAll,0.000640,0.312881,0.127733
9,SameMan,-0.239147,0.374483,0.152882
9,SamePath,-0.074478,0.473559,0.193330
9,SameAg,-0.039453,0.312957,0.127764
9,DiffAll,0.186678,0.543499,0.221882
9,Cont,0.058803,0.340402,0.138968
9,DiffAll-Cont,0.127875,0.655889,0.267766
9,SameMan-Cont,-0.297950,0.303025,0.123709
9,SamePath-Cont,-0.133280,0.459796,0.187711
9,SameAg-Cont,-0.098256,0.218073,0.089028
9,SameAll-Cont,-0.058163,0.278981,0.113894
9,All-Cont,-0.091955,0.196839,0.080359
9,DiffAll-SameAll,0.186038,0.576602,0.235397
9,DiffAll-SameMan,0.425825,0.663305,0.270793
9,DiffAll-SamePath,0.261155,0.894914,0.365347
9,DiffAll-SameAg,0.226131,0.759159,0.309925
9,SameMan-SameAll,-0.239787,0.507926,0.207360
9,SamePath-SameAll,-0.075117,0.427746,0.174627
9,SameAg-SameAll,-0.040093,0.362395,0.147947
10,SameAll,-0.100337,0.362934,0.148167
10,SameMan,-0.172466,0.354789,0.144842
10,SamePath,-0.256682,0.669648,0.273383
10,SameAg,-0.051374,0.547302,0.223435
10,DiffAll,0.375814,0.829605,0.338685
10,Cont,0.082249,0.450223,0.183803
10,DiffAll-Cont,0.293565,0.933332,0.381031
10,SameMan-Cont,-0.254716,0.544428,0.222262
10,SamePath-Cont,-0.338932,0.645555,0.263547
10,SameAg-Cont,-0.133623,0.571379,0.233264
10,SameAll-Cont,-0.182586,0.177503,0.072465
10,All-Cont,-0.123258,0.310617,0.126809
10,DiffAll-SameAll,0.476151,0.963599,0.393387
10,DiffAll-SameMan,0.548280,0.665543,0.271707
10,DiffAll-SamePath,0.632497,1.440784,0.588197
10,DiffAll-SameAg,0.427188,1.307967,0.533975
10,SameMan-SameAll,-0.072130,0.461556,0.188429
10,SamePath-SameAll,-0.156346,0.547746,0.223616
10,SameAg-SameAll,0.048963,0.453193,0.185015
11,SameAll,0.095152,0.431275,0.176067
11,SameMan,-0.026115,0.386788,0.157905
11,SamePath,0.000355,0.292250,0.119311
11,SameAg,0.113632,0.241761,0.098698
11,DiffAll,0.214025,0.482993,0.197181
11,Cont,0.364884,0.596437,0.243494
11,DiffAll-Cont,-0.150859,0.446805,0.182407
11,SameMan-Cont,-0.390999,0.611865,0.249793
11,SamePath-Cont,-0.364529,0.535991,0.218818
11,SameAg-Cont,-0.251252,0.674001,0.275160
11,SameAll-Cont,-0.269733,0.360764,0.147281
11,All-Cont,-0.285474,0.446267,0.182188
11,DiffAll-SameAll,0.118874,0.551386,0.225102
11,DiffAll-SameMan,0.240140,0.636005,0.259648
11,DiffAll-SamePath,0.213670,0.631791,0.257928
11,DiffAll-SameAg,0.100393,0.632924,0.258390
11,SameMan-SameAll,-0.121266,0.466934,0.190625
11,SamePath-SameAll,-0.094796,0.329036,0.134328
11,SameAg-SameAll,0.018481,0.397928,0.162454
12,SameAll,-0.049513,0.321006,0.131050
12,SameMan,-0.062363,0.437968,0.178800
12,SamePath,-0.021249,0.320732,0.130938
12,SameAg,0.127191,0.331625,0.135385
12,DiffAll,0.219792,0.366514,0.149629
12,Cont,0.220953,0.451659,0.184389
12,DiffAll-Cont,-0.001161,0.415473,0.169616
12,SameMan-Cont,-0.283316,0.520529,0.212505
12,SamePath-Cont,-0.242202,0.449795,0.183628
12,SameAg-Cont,-0.093762,0.597523,0.243938
12,SameAll-Cont,-0.270466,0.349483,0.142676
12,All-Cont,-0.178181,0.366682,0.149697
12,DiffAll-SameAll,0.269306,0.543832,0.222018
12,DiffAll-SameMan,0.282155,0.626752,0.255871
12,DiffAll-SamePath,0.241041,0.602103,0.245808
12,DiffAll-SameAg,0.092601,0.658147,0.268687
12,SameMan-SameAll,-0.012850,0.412018,0.168206
12,SamePath-SameAll,0.028264,0.269664,0.110090
12,SameAg-SameAll,0.176705,0.302925,0.123669
13,SameAll,0.105394,0.295425,0.120607
13,SameMan,0.023523,0.408155,0.166629
13,SamePath,0.005986,0.547977,0.223711
13,SameAg,0.272197,0.489535,0.199852
13,DiffAll,-0.062659,0.705680,0.288093
13,Cont,-0.041591,0.607310,0.247933
13,DiffAll-Cont,-0.021068,0.445411,0.181838
13,SameMan-Cont,0.065114,0.573911,0.234298
13,SamePath-Cont,0.047576,0.666306,0.272018
13,SameAg-Cont,0.313788,0.647925,0.264514
13,SameAll-Cont,0.146985,0.648699,0.264830
13,All-Cont,0.110479,0.474799,0.193836
13,DiffAll-SameAll,-0.168053,0.840575,0.343163
13,DiffAll-SameMan,-0.086182,0.628512,0.256589
13,DiffAll-SamePath,-0.068644,0.763790,0.311816
13,DiffAll-SameAg,-0.334856,0.482008,0.196779
13,SameMan-SameAll,-0.081871,0.544120,0.222136
13,SamePath-SameAll,-0.099409,0.585710,0.239115
13,SameAg-SameAll,0.166803,0.635110,0.259283
14,SameAll,0.047458,0.237643,0.097017
14,SameMan,0.055329,0.272680,0.111321
14,SamePath,-0.135826,0.632662,0.258283
14,SameAg,0.224335,0.318802,0.130150
14,DiffAll,0.292591,0.882710,0.360365
14,Cont,0.223556,0.560243,0.228718
14,DiffAll-Cont,0.069035,0.517019,0.211072
14,SameMan-Cont,-0.168228,0.559195,0.228290
14,SamePath-Cont,-0.359382,1.076516,0.439486
14,SameAg-Cont,0.000778,0.776628,0.317057
14,SameAll-Cont,-0.176098,0.615431,0.251249
14,All-Cont,-0.126779,0.549036,0.224143
14,DiffAll-SameAll,0.245133,1.010243,0.412430
14,DiffAll-SameMan,0.237262,0.931671,0.380353
14,DiffAll-SamePath,0.428417,1.441571,0.588519
14,DiffAll-SameAg,0.068256,1.020117,0.416461
14,SameMan-SameAll,0.007871,0.147080,0.060045
14,SamePath-SameAll,-0.183284,0.472490,0.192893
14,SameAg-SameAll,0.176877,0.347094,0.141701
15,SameAll,0.115331,0.394699,0.161135
15,SameMan,0.186683,0.729269,0.297723
15,SamePath,-0.143538,0.525221,0.214421
15,SameAg,0.409064,0.616224,0.251572
15,DiffAll,0.081918,0.711687,0.290545
15,Cont,0.158995,0.733730,0.299544
15,DiffAll-Cont,-0.077077,0.751151,0.306656
15,SameMan-Cont,0.027687,0.887949,0.362504
15,SamePath-Cont,-0.302533,0.982110,0.400945
15,SameAg-Cont,0.250068,0.768319,0.313665
15,SameAll-Cont,-0.043665,0.674354,0.275304
15,All-Cont,-0.029104,0.693349,0.283059
15,DiffAll-SameAll,-0.033413,0.926243,0.378137
15,DiffAll-SameMan,-0.104765,0.431340,0.176094
15,DiffAll-SamePath,0.225456,0.512546,0.209246
15,DiffAll-SameAg,-0.327146,0.603027,0.246185
15,SameMan-SameAll,0.071352,0.964098,0.393592
15,SamePath-SameAll,-0.258869,0.814031,0.332327
15,SameAg-SameAll,0.293733,0.679858,0.277551
16,SameAll,0.005341,0.360289,0.147087
16,SameMan,0.141404,0.563301,0.229967
16,SamePath,-0.089110,0.491376,0.200603
16,SameAg,0.332623,0.447847,0.182833
16,DiffAll,0.172332,0.387446,0.158174
16,Cont,0.335824,0.555510,0.226786
16,DiffAll-Cont,-0.163492,0.535452,0.218597
16,SameMan-Cont,-0.194420,0.839032,0.342533
16,SamePath-Cont,-0.424934,0.913384,0.372887
16,SameAg-Cont,-0.003202,0.783056,0.319681
16,SameAll-Cont,-0.330484,0.436218,0.178085
16,All-Cont,-0.223306,0.636556,0.259873
16,DiffAll-SameAll,0.166991,0.443643,0.181117
16,DiffAll-SameMan,0.030928,0.555790,0.226900
16,DiffAll-SamePath,0.261442,0.557180,0.227468
16,DiffAll-SameAg,-0.160290,0.585659,0.239094
16,SameMan-SameAll,0.136063,0.608719,0.248509
16,SamePath-SameAll,-0.094451,0.605653,0.247257
16,SameAg-SameAll,0.327282,0.542059,0.221295
17,SameAll,0.089751,0.525824,0.214667
17,SameMan,0.117833,0.362787,0.148107
17,SamePath,0.111371,0.223329,0.091174
17,SameAg,0.081229,0.416831,0.170171
