ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,-0.152946,0.245602,-0.622736,5.000000,0.719622,0.964436
2,1399,139,1.000000,-0.285062,0.317997,-0.896428,5.000000,0.794449,0.964436
3,4863,486,1.000000,-0.028238,0.303291,-0.093104,5.000000,0.535282,0.964436
4,5104,510,1.000000,-0.069885,0.246979,-0.282958,5.000000,0.605725,0.964436
5,888,88,1.000000,0.077901,0.396802,0.196322,5.000000,0.426044,0.964436
6,1015,101,1.000000,-0.031154,0.220190,-0.141487,5.000000,0.553495,0.964436
7,3526,352,1.000000,-0.201282,0.225523,-0.892511,5.000000,0.793496,0.964436
8,3381,338,1.000000,-0.189421,0.231018,-0.819940,5.000000,0.775222,0.964436
9,1858,185,1.000000,-0.297950,0.123709,-2.408466,5.000000,0.969510,0.969510
10,1770,177,1.000000,-0.254716,0.222262,-1.146017,5.000000,0.848171,0.964436
11,2147,214,1.000000,-0.390999,0.249793,-1.565292,5.000000,0.910856,0.964436
12,2371,237,1.000000,-0.283316,0.212505,-1.333219,5.000000,0.880013,0.964436
13,2447,244,1.000000,0.065114,0.234298,0.277912,5.000000,0.396103,0.964436
14,1345,134,1.000000,-0.168228,0.228290,-0.736902,5.000000,0.752858,0.964436
15,2065,206,1.000000,0.027687,0.362504,0.076378,5.000000,0.471040,0.964436
16,2222,222,1.000000,-0.194420,0.342533,-0.567595,5.000000,0.702577,0.964436
17,1615,161,1.000000,0.014745,0.271896,0.054230,5.000000,0.479426,0.964436
18,1958,195,1.000000,0.021064,0.271932,0.077461,5.000000,0.470630,0.964436
