ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.111819,0.167385,0.668034,5.000000,0.266853,0.792253
2,1399,139,1.000000,0.037331,0.379312,0.098418,5.000000,0.462712,0.792253
3,4863,486,1.000000,-0.034925,0.323270,-0.108037,5.000000,0.540916,0.792253
4,5104,510,1.000000,-0.078485,0.373912,-0.209903,5.000000,0.578986,0.792253
5,888,88,1.000000,-0.060216,0.111500,-0.540051,5.000000,0.693831,0.792253
6,1015,101,1.000000,-0.137012,0.258800,-0.529412,5.000000,0.690413,0.792253
7,3526,352,1.000000,0.017144,0.217226,0.078924,5.000000,0.470077,0.792253
8,3381,338,1.000000,0.092502,0.389356,0.237577,5.000000,0.410819,0.792253
9,1858,185,1.000000,-0.098256,0.089028,-1.103653,5.000000,0.839997,0.839997
10,1770,177,1.000000,-0.133623,0.233264,-0.572840,5.000000,0.704225,0.792253
11,2147,214,1.000000,-0.251252,0.275160,-0.913112,5.000000,0.798468,0.839997
12,2371,237,1.000000,-0.093762,0.243938,-0.384368,5.000000,0.641745,0.792253
13,2447,244,1.000000,0.313788,0.264514,1.186280,5.000000,0.144402,0.792253
14,1345,134,1.000000,0.000778,0.317057,0.002455,5.000000,0.499068,0.792253
15,2065,206,1.000000,0.250068,0.313665,0.797247,5.000000,0.230736,0.792253
16,2222,222,1.000000,-0.003202,0.319681,-0.010015,5.000000,0.503802,0.792253
17,1615,161,1.000000,-0.021858,0.159712,-0.136862,5.000000,0.551760,0.792253
18,1958,195,1.000000,-0.038263,0.077920,-0.491054,5.000000,0.677909,0.792253
