ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
LIFGorb,370,37,1.000000,-0.402125,0.259111,-1.551944,4.000000,0.902187,0.978967
LIFG,743,74,1.000000,-0.532227,0.255873,-2.080043,4.000000,0.946991,0.978967
LMFG,462,46,1.000000,-0.320440,0.191272,-1.675310,4.000000,0.915408,0.978967
LAntTemp,1627,162,1.000000,-0.256457,0.116268,-2.205734,4.000000,0.953969,0.978967
LPostTemp,2948,294,1.000000,-0.341315,0.115791,-2.947678,4.000000,0.978967,0.978967
LAngG,644,64,1.000000,-0.204709,0.182870,-1.119421,4.000000,0.837181,0.978967
