ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
LIFGorb,370,37,1.000000,0.093022,0.080834,1.150769,4.000000,0.156970,0.553042
LIFG,743,74,1.000000,0.025743,0.194397,0.132426,4.000000,0.450521,0.638361
LMFG,462,46,1.000000,-0.019105,0.223777,-0.085375,4.000000,0.531967,0.638361
LAntTemp,1627,162,1.000000,-0.058772,0.120682,-0.486997,4.000000,0.674129,0.674129
LPostTemp,2948,294,1.000000,0.168324,0.166295,1.012201,4.000000,0.184347,0.553042
LAngG,644,64,1.000000,0.088954,0.174399,0.510060,4.000000,0.318433,0.636865
