ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
LIFGorb,370,37,1.000000,0.188738,0.307032,0.614719,5.000000,0.282817,0.424226
LIFG,743,74,1.000000,-0.077524,0.413846,-0.187325,5.000000,0.570615,0.570615
LMFG,462,46,1.000000,-0.019788,0.264593,-0.074786,5.000000,0.528357,0.570615
LAntTemp,1627,162,1.000000,0.136966,0.169512,0.808007,5.000000,0.227897,0.424226
LPostTemp,2948,294,1.000000,0.159790,0.202199,0.790260,5.000000,0.232594,0.424226
LAngG,644,64,1.000000,0.181868,0.219625,0.828083,5.000000,0.222668,0.424226
