ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
LIFGorb,370,37,1.000000,0.340848,0.472400,0.721525,4.000000,0.255254,0.306305
LIFG,743,74,1.000000,0.203882,0.597531,0.341208,4.000000,0.375059,0.375059
LMFG,462,46,1.000000,0.395191,0.447153,0.883793,4.000000,0.213365,0.306305
LAntTemp,1627,162,1.000000,0.621204,0.381853,1.626815,4.000000,0.089552,0.268657
LPostTemp,2948,294,1.000000,0.624586,0.314216,1.987762,4.000000,0.058876,0.268657
LAngG,644,64,1.000000,0.577483,0.540599,1.068228,4.000000,0.172799,0.306305
