ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
LIFGorb,370,37,1.000000,-0.049700,0.386953,-0.128438,4.000000,0.548000,0.806434
LIFG,743,74,1.000000,-0.553450,0.620620,-0.891769,4.000000,0.788543,0.806434
LMFG,462,46,1.000000,-0.398369,0.410840,-0.969645,4.000000,0.806434,0.806434
LAntTemp,1627,162,1.000000,-0.029358,0.170041,-0.172652,4.000000,0.564346,0.806434
LPostTemp,2948,294,1.000000,-0.076665,0.218493,-0.350881,4.000000,0.628311,0.806434
LAngG,644,64,1.000000,0.093398,0.243544,0.383493,4.000000,0.360433,0.806434
