ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
LIFGorb,370,37,1.000000,-0.320383,0.373912,-0.856843,4.000000,0.780084,0.892148
LIFG,743,74,1.000000,0.036064,0.441535,0.081679,4.000000,0.469413,0.892148
LMFG,462,46,1.000000,0.038193,0.349362,0.109323,4.000000,0.459106,0.892148
LAntTemp,1627,162,1.000000,-0.406897,0.276946,-1.469228,4.000000,0.892148,0.892148
LPostTemp,2948,294,1.000000,-0.159793,0.153627,-1.040133,4.000000,0.821493,0.892148
LAngG,644,64,1.000000,-0.024278,0.290004,-0.083717,4.000000,0.531348,0.892148
