ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
LIFGorb,370,37,1.000000,-0.009781,0.214579,-0.045582,5.000000,0.517296,0.517296
LIFG,743,74,1.000000,0.157872,0.183276,0.861385,5.000000,0.214196,0.298135
LMFG,462,46,1.000000,0.307264,0.167470,1.834740,5.000000,0.062999,0.125997
LAntTemp,1627,162,1.000000,0.127384,0.173967,0.732232,5.000000,0.248446,0.298135
LPostTemp,2948,294,1.000000,0.357285,0.180893,1.975119,5.000000,0.052616,0.125997
LAngG,644,64,1.000000,0.466268,0.238817,1.952410,5.000000,0.054168,0.125997
