ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
LIFGorb,370,37,1.000000,-0.370083,0.299529,-1.235550,4.000000,0.857885,0.972149
LIFG,743,74,1.000000,-0.517386,0.193648,-2.671789,4.000000,0.972149,0.972149
LMFG,462,46,1.000000,-0.360176,0.169081,-2.130200,4.000000,0.949907,0.972149
LAntTemp,1627,162,1.000000,-0.436255,0.209126,-2.086093,4.000000,0.947353,0.972149
LPostTemp,2948,294,1.000000,-0.236458,0.196035,-1.206202,4.000000,0.852899,0.972149
LAngG,644,64,1.000000,0.069119,0.341971,0.202120,4.000000,0.424843,0.972149
