ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
LIFGorb,370,37,1.000000,-0.399171,0.154398,-2.585343,5.000000,0.975443,0.975443
LIFG,743,74,1.000000,-0.269190,0.234651,-1.147195,5.000000,0.848393,0.975443
LMFG,462,46,1.000000,-0.227277,0.205723,-1.104776,5.000000,0.840218,0.975443
LAntTemp,1627,162,1.000000,-0.428701,0.209844,-2.042946,5.000000,0.951747,0.975443
LPostTemp,2948,294,1.000000,-0.077863,0.115409,-0.674675,5.000000,0.735093,0.975443
LAngG,644,64,1.000000,-0.015957,0.200263,-0.079682,5.000000,0.530209,0.975443
