ROI,Effect,MeanEffect,StdEffect,StderrEffect
LPostTemp,SameMan-SameAll,-0.341315,0.258917,0.115791
LPostTemp,SamePath-SameAll,0.063466,0.388585,0.173781
LPostTemp,SameAg-SameAll,0.359936,0.509703,0.227946
LAngG,SameAll,0.273828,0.763726,0.341549
LAngG,SameMan,0.069119,0.764671,0.341971
LAngG,SamePath,0.088954,0.389968,0.174399
LAngG,SameAg,0.553205,0.609152,0.272421
LAngG,DiffAll,0.013078,0.542648,0.242680
LAngG,Cont,-0.024278,0.648470,0.290004
LAngG,DiffAll-Cont,0.037356,0.729244,0.326128
LAngG,SameMan-Cont,0.093398,0.544582,0.243544
LAngG,SamePath-Cont,0.113232,0.990735,0.443070
LAngG,SameAg-Cont,0.577483,1.208817,0.540599
LAngG,SameAll-Cont,0.298106,0.212681,0.095114
LAngG,All-Cont,0.223915,0.590343,0.264010
LAngG,DiffAll-SameAll,-0.260750,0.833387,0.372702
LAngG,DiffAll-SameMan,-0.056041,0.799950,0.357748
LAngG,DiffAll-SamePath,-0.075876,0.564766,0.252571
LAngG,DiffAll-SameAg,-0.540127,0.803881,0.359506
LAngG,SameMan-SameAll,-0.204709,0.408910,0.182870
LAngG,SamePath-SameAll,-0.184874,1.117768,0.499881
LAngG,SameAg-SameAll,0.279377,1.271968,0.568842
