ROI,Subject,Effect, LocalizerSize,EffectSize
LIFGorb,334_FED_20161221a_3T2_PL2017,SameAll, 37,0.888336
LIFGorb,334_FED_20161221a_3T2_PL2017,SameMan, 37,0.546716
LIFGorb,334_FED_20161221a_3T2_PL2017,SamePath, 37,0.249896
LIFGorb,334_FED_20161221a_3T2_PL2017,SameAg, 37,0.356328
LIFGorb,334_FED_20161221a_3T2_PL2017,DiffAll, 37,0.101563
LIFGorb,334_FED_20161221a_3T2_PL2017,Cont, 37,0.366568
LIFGorb,334_FED_20161221a_3T2_PL2017,DiffAll-Cont, 37,-0.265005
LIFGorb,334_FED_20161221a_3T2_PL2017,SameMan-Cont, 37,0.180149
LIFGorb,334_FED_20161221a_3T2_PL2017,SamePath-Cont, 37,-0.116671
LIFGorb,334_FED_20161221a_3T2_PL2017,SameAg-Cont, 37,-0.010239
LIFGorb,334_FED_20161221a_3T2_PL2017,SameAll-Cont, 37,0.521768
LIFGorb,334_FED_20161221a_3T2_PL2017,All-Cont, 37,0.062000
LIFGorb,334_FED_20161221a_3T2_PL2017,DiffAll-SameAll, 37,-0.786773
LIFGorb,334_FED_20161221a_3T2_PL2017,DiffAll-SameMan, 37,-0.445154
LIFGorb,334_FED_20161221a_3T2_PL2017,DiffAll-SamePath, 37,-0.148334
LIFGorb,334_FED_20161221a_3T2_PL2017,DiffAll-SameAg, 37,-0.254766
LIFGorb,334_FED_20161221a_3T2_PL2017,SameMan-SameAll, 37,-0.341619
LIFGorb,334_FED_20161221a_3T2_PL2017,SamePath-SameAll, 37,-0.638439
LIFGorb,334_FED_20161221a_3T2_PL2017,SameAg-SameAll, 37,-0.532007
LIFGorb,479_FED_20161228d_3T2_PL2017,SameAll, 37,0.306606
LIFGorb,479_FED_20161228d_3T2_PL2017,SameMan, 37,0.055972
LIFGorb,479_FED_20161228d_3T2_PL2017,SamePath, 37,0.085805
LIFGorb,479_FED_20161228d_3T2_PL2017,SameAg, 37,0.140721
LIFGorb,479_FED_20161228d_3T2_PL2017,DiffAll, 37,-0.046119
LIFGorb,479_FED_20161228d_3T2_PL2017,Cont, 37,0.063045
LIFGorb,479_FED_20161228d_3T2_PL2017,DiffAll-Cont, 37,-0.109165
LIFGorb,479_FED_20161228d_3T2_PL2017,SameMan-Cont, 37,-0.007074
LIFGorb,479_FED_20161228d_3T2_PL2017,SamePath-Cont, 37,0.022760
LIFGorb,479_FED_20161228d_3T2_PL2017,SameAg-Cont, 37,0.077676
LIFGorb,479_FED_20161228d_3T2_PL2017,SameAll-Cont, 37,0.243561
LIFGorb,479_FED_20161228d_3T2_PL2017,All-Cont, 37,0.045552
LIFGorb,479_FED_20161228d_3T2_PL2017,DiffAll-SameAll, 37,-0.352725
LIFGorb,479_FED_20161228d_3T2_PL2017,DiffAll-SameMan, 37,-0.102091
LIFGorb,479_FED_20161228d_3T2_PL2017,DiffAll-SamePath, 37,-0.131925
LIFGorb,479_FED_20161228d_3T2_PL2017,DiffAll-SameAg, 37,-0.186841
LIFGorb,479_FED_20161228d_3T2_PL2017,SameMan-SameAll, 37,-0.250634
LIFGorb,479_FED_20161228d_3T2_PL2017,SamePath-SameAll, 37,-0.220801
LIFGorb,479_FED_20161228d_3T2_PL2017,SameAg-SameAll, 37,-0.165885
LIFGorb,522_FED_20161228e_3T2_PL2017,SameAll, 37,0.596141
LIFGorb,522_FED_20161228e_3T2_PL2017,SameMan, 37,-0.791892
LIFGorb,522_FED_20161228e_3T2_PL2017,SamePath, 37,-0.181366
LIFGorb,522_FED_20161228e_3T2_PL2017,SameAg, 37,0.418420
