ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
LIFGorb,370,37,1.000000,-0.389390,0.148792,-2.617014,5.000000,0.976366,0.976366
LIFG,743,74,1.000000,-0.427062,0.276277,-1.545773,5.000000,0.908588,0.976366
LMFG,462,46,1.000000,-0.534541,0.229959,-2.324508,5.000000,0.966164,0.976366
LAntTemp,1627,162,1.000000,-0.556085,0.326619,-1.702551,5.000000,0.925308,0.976366
LPostTemp,2948,294,1.000000,-0.435148,0.208503,-2.087012,5.000000,0.954377,0.976366
LAngG,644,64,1.000000,-0.482226,0.299192,-1.611761,5.000000,0.916034,0.976366
