ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
LIFGorb,370,37,1.000000,-0.065288,0.327635,-0.199271,4.000000,0.574115,0.769537
LIFG,743,74,1.000000,-0.231991,0.360058,-0.644316,4.000000,0.722771,0.769537
LMFG,462,46,1.000000,-0.150349,0.184526,-0.814783,4.000000,0.769537,0.769537
LAntTemp,1627,162,1.000000,-0.130366,0.161228,-0.808578,4.000000,0.767948,0.769537
LPostTemp,2948,294,1.000000,0.066206,0.229703,0.288224,4.000000,0.393747,0.769537
LAngG,644,64,1.000000,0.037356,0.326128,0.114545,4.000000,0.457163,0.769537
