ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
LIFGorb,370,37,1.000000,-0.479259,0.153223,-3.127856,5.000000,0.986990,0.986990
LIFG,743,74,1.000000,-0.268175,0.186201,-1.440245,5.000000,0.895326,0.986990
LMFG,462,46,1.000000,-0.134775,0.134085,-1.005152,5.000000,0.819520,0.986990
LAntTemp,1627,162,1.000000,-0.355952,0.192987,-1.844434,5.000000,0.937782,0.986990
LPostTemp,2948,294,1.000000,-0.178682,0.134173,-1.331726,5.000000,0.879785,0.986990
LAngG,644,64,1.000000,-0.110615,0.209129,-0.528931,5.000000,0.690258,0.986990
