ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
LIFGorb,370,37,1.000000,-0.417714,0.232942,-1.793209,4.000000,0.926301,0.983151
LIFG,743,74,1.000000,-0.210769,0.195957,-1.075586,4.000000,0.828668,0.983151
LMFG,462,46,1.000000,-0.072419,0.118882,-0.609172,4.000000,0.712343,0.983151
LAntTemp,1627,162,1.000000,-0.357465,0.112589,-3.174949,4.000000,0.983151,0.983151
LPostTemp,2948,294,1.000000,-0.198444,0.112099,-1.770266,4.000000,0.924304,0.983151
LAngG,644,64,1.000000,-0.260750,0.372702,-0.699620,4.000000,0.738643,0.983151
