ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
LIFGorb,370,37,1.000000,0.053471,0.168215,0.317875,5.000000,0.381713,0.381713
LIFG,743,74,1.000000,0.286119,0.167394,1.709252,5.000000,0.074050,0.148100
LMFG,462,46,1.000000,0.507573,0.163380,3.106694,5.000000,0.013325,0.079951
LAntTemp,1627,162,1.000000,0.350307,0.303839,1.152937,5.000000,0.150529,0.225793
LPostTemp,2948,294,1.000000,0.361672,0.186125,1.943160,5.000000,0.054813,0.148100
LAngG,644,64,1.000000,0.295167,0.464726,0.635144,5.000000,0.276630,0.331956
