ROI_Num, ROIName
1,LIFG op
2,RIFG op
3,LMFG
4,RMFG
5,LMFG orb
6,RMFG orb
7,LPrecG
8,RPrecG
9,LInsula
10,RInsula
11,LSMA
12,RSMA
13,LPar Inf
14,RPar Inf
15,LPar Sup
16,RPar Sup
17,LACC
18,RACC
