"ROIName","Subject","Contrast","nVoxels","SignalChange"
1,"334_FED_20161221a_3T2_PL2017","SameAll",103,0.067135
1,"334_FED_20161221a_3T2_PL2017","SameMan",103,0.113086
1,"334_FED_20161221a_3T2_PL2017","SamePath",103,0.467607
1,"334_FED_20161221a_3T2_PL2017","SameAg",103,0.028807
1,"334_FED_20161221a_3T2_PL2017","DiffAll",103,0.079572
1,"334_FED_20161221a_3T2_PL2017","Cont",103,0.23633
1,"334_FED_20161221a_3T2_PL2017","DiffAll-Cont",103,-0.156758
1,"334_FED_20161221a_3T2_PL2017","SameMan-Cont",103,-0.123244
1,"334_FED_20161221a_3T2_PL2017","SamePath-Cont",103,0.231277
1,"334_FED_20161221a_3T2_PL2017","SameAg-Cont",103,-0.207523
1,"334_FED_20161221a_3T2_PL2017","SameAll-Cont",103,-0.169195
1,"334_FED_20161221a_3T2_PL2017","All-Cont",103,-0.085089
1,"334_FED_20161221a_3T2_PL2017","DiffAll-SameAll",103,0.012437
1,"334_FED_20161221a_3T2_PL2017","DiffAll-SameMan",103,-0.033514
1,"334_FED_20161221a_3T2_PL2017","DiffAll-SamePath",103,-0.388036
1,"334_FED_20161221a_3T2_PL2017","DiffAll-SameAg",103,0.050765
1,"334_FED_20161221a_3T2_PL2017","SameMan-SameAll",103,0.045951
1,"334_FED_20161221a_3T2_PL2017","SamePath-SameAll",103,0.400472
1,"334_FED_20161221a_3T2_PL2017","SameAg-SameAll",103,-0.038328
1,"479_FED_20161228d_3T2_PL2017","SameAll",103,0.404326
1,"479_FED_20161228d_3T2_PL2017","SameMan",103,-0.188045
1,"479_FED_20161228d_3T2_PL2017","SamePath",103,0.074601
1,"479_FED_20161228d_3T2_PL2017","SameAg",103,0.672867
1,"479_FED_20161228d_3T2_PL2017","DiffAll",103,-0.29182
1,"479_FED_20161228d_3T2_PL2017","Cont",103,0.086207
1,"479_FED_20161228d_3T2_PL2017","DiffAll-Cont",103,-0.378026
1,"479_FED_20161228d_3T2_PL2017","SameMan-Cont",103,-0.274252
1,"479_FED_20161228d_3T2_PL2017","SamePath-Cont",103,-0.011606
1,"479_FED_20161228d_3T2_PL2017","SameAg-Cont",103,0.586661
1,"479_FED_20161228d_3T2_PL2017","SameAll-Cont",103,0.31812
1,"479_FED_20161228d_3T2_PL2017","All-Cont",103,0.048179
1,"479_FED_20161228d_3T2_PL2017","DiffAll-SameAll",103,-0.696146
1,"479_FED_20161228d_3T2_PL2017","DiffAll-SameMan",103,-0.103775
1,"479_FED_20161228d_3T2_PL2017","DiffAll-SamePath",103,-0.366421
1,"479_FED_20161228d_3T2_PL2017","DiffAll-SameAg",103,-0.964687
1,"479_FED_20161228d_3T2_PL2017","SameMan-SameAll",103,-0.592372
1,"479_FED_20161228d_3T2_PL2017","SamePath-SameAll",103,-0.329726
1,"479_FED_20161228d_3T2_PL2017","SameAg-SameAll",103,0.268541
1,"522_FED_20161228e_3T2_PL2017","SameAll",103,0.271104
1,"522_FED_20161228e_3T2_PL2017","SameMan",103,-0.233086
1,"522_FED_20161228e_3T2_PL2017","SamePath",103,0.083284
1,"522_FED_20161228e_3T2_PL2017","SameAg",103,-0.018738
1,"522_FED_20161228e_3T2_PL2017","DiffAll",103,-0.070986
1,"522_FED_20161228e_3T2_PL2017","Cont",103,0.090554
1,"522_FED_20161228e_3T2_PL2017","DiffAll-Cont",103,-0.16154
1,"522_FED_20161228e_3T2_PL2017","SameMan-Cont",103,-0.32364
1,"522_FED_20161228e_3T2_PL2017","SamePath-Cont",103,-0.007269
1,"522_FED_20161228e_3T2_PL2017","SameAg-Cont",103,-0.109291
1,"522_FED_20161228e_3T2_PL2017","SameAll-Cont",103,0.180551
1,"522_FED_20161228e_3T2_PL2017","All-Cont",103,-0.084238
